"School name","School type","Post date","Updated date","Blank","Street","City","Province","Postal Code","Country"
"Eddyville Charter School","ElementaryMiddle schoolHigh school","2009-02-03 14:18","2009-02-03 14:18","","Eddyville School Rd","Eddyville","Oregon","97343-0043","United States"
"Edgewood Community Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","577 E 46th Ave","Eugene","Oregon","97405-3998","United States"
"Edison Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1328 E 22nd Ave","Eugene","Oregon","97403-1599","United States"
"Edward Byrom Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","21800 Sw 91st Ave","Tualatin","Oregon","97062-9022","United States"
"Edwards Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","715 E 8th","Newberg","Oregon","97132-3400","United States"
"Edwin Brown High School","High school","2009-02-03 14:26","2009-02-03 14:26","","850 Sw Antler Ave","Redmond","Oregon","97756-2198","United States"
"El Puente","Elementary","2009-02-03 14:18","2009-02-03 14:18","","11250 Se 27th Ave","Milwaukie","Oregon","97222-7797","United States"
"Eldriedge Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 9216","Brooks","Oregon","97305-9712","United States"
"Elgin High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 68","Elgin","Oregon","97827-0068","United States"
"Elizabeth Page Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1300 Hayden Bridge Rd","Springfield","Oregon","97477-1560","United States"
"Elk Meadow Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","60880 Brookswood Blvd","Bend","Oregon","97702-2516","United States"
"Elk Trail Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","591 Elk Creek Rd","Trail","Oregon","97541-9700","United States"
"Elkton Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 390","Elkton","Oregon","97436-0390","United States"
"Elkton High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 390","Elkton","Oregon","97436-0390","United States"
"Elmira Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","88960 Territorial Rd","Elmira","Oregon","97437-9755","United States"
"Elmira High School","High school","2009-02-03 14:26","2009-02-03 14:26","","24936 Fir Grove Ln","Elmira","Oregon","97437-9757","United States"
"Elmonica Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","16950 Sw Lisa Ct","Beaverton","Oregon","97006-4100","United States"
"Elton Gregory Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1220 Nw Upas Ave","Redmond","Oregon","97756","United States"
"Emerson School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","105 Nw Park Ave","Portland","Oregon","97209-3315","United States"
"Englewood Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1132 19th St Ne","Salem","Oregon","97301-2252","United States"
"Ensworth Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","2150 Ne Daggett Ln","Bend","Oregon","97701-6560","United States"
"Enterprise Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","201 Se 4th St","Enterprise","Oregon","97828-1350","United States"
"Enterprise High School","High school","2009-02-03 14:26","2009-02-03 14:26","","201 Se 4th St","Enterprise","Oregon","97828-1350","United States"
"Errol Hassell Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","18100 Sw Bany Rd","Beaverton","Oregon","97007-5735","United States"
"Estacada Alternative High School","High school","2009-02-03 14:26","2009-02-03 14:26","","255 Ne 6th Ave","Estacada","Oregon","97023-9719","United States"
"Estacada High School","High school","2009-02-03 14:26","2009-02-03 14:26","","355 Ne 6th Ave","Estacada","Oregon","97023-9333","United States"
"Estacada Junior High School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","500 Ne Main St","Estacada","Oregon","97023-9773","United States"
"Estacada Web Academy","ElementaryMiddle schoolHigh school","2009-02-03 14:18","2009-02-03 14:18","","354 Se Hwy 211","Estacada","Oregon","97023","United States"
"Eugene Field Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","410 N Water St","Silverton","Oregon","97381-1626","United States"
"Evans Valley Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 1045","Rogue River","Oregon","97537-1045","United States"
"Evergreen Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","520 W River St","Cave Junction","Oregon","97523-0","United States"
"Evergreen Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","437 S 9th St","Redmond","Oregon","97756-9099","United States"
"Evergreen Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","3727 Cascade Hwy Ne","Silverton","Oregon","97381-9538","United States"
"Evergreen Jr High School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","29850 Nw Evergreen Rd","Hillsboro","Oregon","97124-1822","United States"
"Ewing Young Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","17600 Ne North Valley Rd","Newberg","Oregon","97132-6547","United States"
"Eyre Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","4868 Buffalo Dr Se","Salem","Oregon","97301-5984","United States"
"Fairfield Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","3455 Royal Ave","Eugene","Oregon","97402-1999","United States"
"Fairhaven Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","5400 Hwy 66","Klamath Falls","Oregon","97601-9536","United States"
"Fairmount Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","","","Oregon","","United States"
"Fairview Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","225 Main St","Fairview","Oregon","97024-1704","United States"
"Fairview Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1017 Donald St","Klamath Falls","Oregon","97601-6599","United States"
"Falls City Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","177 Prospect Ave","Falls City","Oregon","97344-9754","United States"
"Falls City High School","High school","2009-02-03 14:26","2009-02-03 14:26","","","","Oregon","","United States"
"Family School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1510 W 14th Ave","Eugene","Oregon","97402-3896","United States"
"Farmington View Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","8300 Sw Hillsboro Hwy","Hillsboro","Oregon","97123-9284","United States"
"Faubion Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","3039 Ne Portland Blvd","Portland","Oregon","97211-6699","United States"
"Faulconer-chapman School","ElementaryMiddle schoolHigh school","2009-02-03 14:18","2009-02-03 14:18","","332 Sw Cornwall St","Sheridan","Oregon","97378-1799","United States"
"Ferguson Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","2901 Homedale Rd","Klamath Falls","Oregon","97603-6898","United States"
"Fern Hill Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","4445 Heather St","Forest Grove","Oregon","97116-1440","United States"
"Fern Ridge Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","88831 Territorial Rd","Elmira","Oregon","97437-9758","United States"
"Ferndale Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","53445 W Ferndale Rd","Milton-freewater","Oregon","97862-7430","United States"
"Fields Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","23657 Fields-denio Rd","Fields","Oregon","97710-8000","United States"
"Findley Elementary","Elementary","2009-02-03 14:18","2009-02-03 14:18","","4155 Nw Saltzman Rd","Portland","Oregon","97229-2433","United States"
"Fir Grove Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","6300 Sw Wilson Ave","Beaverton","Oregon","97008-4424","United States"
"Fir Grove Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1360 W Harvard Ave","Roseburg","Oregon","97470-2865","United States"
"Fir Grove Primary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","5355 Scenic Dr Nw","Albany","Oregon","97321-9376","United States"
"Firwood Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 547","Sandy","Oregon","97055-0547","United States"
"Five Oaks Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1600 Nw 173rd Ave","Beaverton","Oregon","97006-4856","United States"
"Fleming Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","6001 Monument Dr","Grants Pass","Oregon","97526-8515","United States"
"Floyd Light Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","10800 Se Washington St","Portland","Oregon","97216-3199","United States"
"Forest Grove Community School","ElementaryMiddle schoolHigh school","2009-02-03 14:18","2009-02-03 14:18","","1941 Pacific Ave","Forest Grove","Oregon","97116","United States"
"Forest Grove High School","High school","2009-02-03 14:26","2009-02-03 14:26","","1401 Nichols Ln","Forest Grove","Oregon","97116-3299","United States"
"Forest Hills Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1133 Sw Andrews Rd","Lake Oswego","Oregon","97034-1799","United States"
"Forest Park Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","9935 Nw Durrett St","Portland","Oregon","97229-9183","United States"
"Forest Ridge Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","7905 June Reid Pl Ne","Keizer","Oregon","97303-2559","United States"
"Fossil Charter School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 266","Fossil","Oregon","97830-0266","United States"
"Foster Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 747","Foster","Oregon","97345-0747","United States"
"Four Corners Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","500 Elma Ave Se","Salem","Oregon","97317-5621","United States"
"Four Corners School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","14513 Se Stark","Portland","Oregon","97233","United States"
"Four Rivers Community School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","2449 Sw 4th Ave","Ontario","Oregon","97914","United States"
"Franklin High School","High school","2009-02-03 14:26","2009-02-03 14:26","","5405 Se Woodward St","Portland","Oregon","97206-2199","United States"
"Franklin School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","750 Nw 18th St","Corvallis","Oregon","97330-5735","United States"
"Free Orchards Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","","","Oregon","","United States"
"Freewater Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","17 Nw 8th Ave","Milton-freewater","Oregon","97862-1998","United States"
"Fremont/hay Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","500 S  I  St","Lakeview","Oregon","97630-1642","United States"
"French Prairie Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1025 N Boones Ferry Rd","Woodburn","Oregon","97071-9601","United States"
"Frenchglen Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","39235 Hwy 205","Frenchglen","Oregon","97736-9704","United States"
"Fruitdale Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1560 Bill Baker Way","Grants Pass","Oregon","97527-4983","United States"
"Fruitland Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","6425 Fruitland Rd Ne","Salem","Oregon","97301-3352","United States"
"Ft Vannoy Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","5250 Upper River Rd","Grants Pass","Oregon","97526-9396","United States"
"Fullerton Iv Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","2560 W Bradford Ave","Roseburg","Oregon","97470-2525","United States"
"Gaffney Lane Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","13521 S Gaffney Ln","Oregon City","Oregon","97045-7999","United States"
"Gales Creek Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","9125 Nw Sargent Rd","Gales Creek","Oregon","97117-9386","United States"
"Gardiner Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","180 Ethel St","Oregon City","Oregon","97045-3695","United States"
"Garfield Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1205 Nw Garfield Ave","Corvallis","Oregon","97330-2057","United States"
"Garibaldi Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 317","Garibaldi","Oregon","97118-0317","United States"
"Gaston Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 68","Gaston","Oregon","97119-0068","United States"
"Gaston Jr/sr High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 68","Gaston","Oregon","97119-0068","United States"
"Gates Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 457","Gates","Oregon","97346-0457","United States"
"Gateways High School","High school","2009-02-03 14:26","2009-02-03 14:26","","665 Main St","Springfield","Oregon","97477-4764","United States"
"Gearhart Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 47","Bly","Oregon","97622-0047","United States"
"Gearhart Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","1002 Pacific Way","Gearhart","Oregon","97138-4299","United States"
"George Fox University","Private college","2009-02-03 14:29","2009-02-03 14:29","","414 N Meridian St","Newberg","Oregon","97132-2697","United States"
"George Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","10000 N Burr","Portland","Oregon","97203-1714","United States"
"Gervais High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 195","Gervais","Oregon","97026-0195","United States"
"Gervais Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","Po Box 176","Gervais","Oregon","97026-0176","United States"
"Gilbert Heights Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","12839 Se Holgate Blvd","Portland","Oregon","97236-3909","United States"
"Gilbert Park Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","13132 Se Ramona St","Portland","Oregon","97236-4199","United States"
"Gilchrist Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box 668","Gilchrist","Oregon","97737-0668","United States"
"Gilchrist Junior/senior High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 668","Gilchrist","Oregon","97737-0668","United States"
"Gilham Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","3307 Honeywood St","Eugene","Oregon","97401-1699","United States"
"Gladstone High School","High school","2009-02-03 14:26","2009-02-03 14:26","","18800 Portland Ave","Gladstone","Oregon","97027-1698","United States"
"Glencoe Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","825 Se 51st Ave","Portland","Oregon","97215-1785","United States"
"Glencoe High School","High school","2009-02-03 14:26","2009-02-03 14:26","","2700 Nw Glencoe Rd","Hillsboro","Oregon","97124-1518","United States"
"Glendale Elementary School","Elementary","2009-02-03 14:18","2009-02-03 14:18","","Po Box E","Glendale","Oregon","97442-0605","United States"
"Glendale High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box E","Glendale","Oregon","97442-0605","United States"
"Glendale High School","High school","2014-09-16 14:48","2014-09-16 14:48","","10598 Azalea Glen Road","Glendale","Oregon","97442","United States"
"Glenfair Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","15300 Ne Glisan St","Portland","Oregon","97230-4859","United States"
"Glide Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","1477 Glide Loop Dr","Glide","Oregon","97443-9758","United States"
"Glide High School","High school","2009-02-03 14:26","2009-02-03 14:26","","18990 N Umpqua Hwy","Glide","Oregon","97443-9718","United States"
"Glide Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","301 Glide Loop Dr","Glide","Oregon","97443-9744","United States"
"Gold Beach High School","High school","2009-02-03 14:26","2009-02-03 14:26","","29516 Ellensburg Ave","Gold Beach","Oregon","97444-9754","United States"
"Gordon Russell Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","3625 E Powell Valley Rd","Gresham","Oregon","97080-1614","United States"
"Goshen Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","34020  B  St","Eugene","Oregon","97405-9622","United States"
"Grandhaven Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","3200 Ne Mcdonald Ln","Mcminnville","Oregon","97128-2253","United States"
"Grant Community School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","725 Market St Ne","Salem","Oregon","97301-1198","United States"
"Grant High School","High school","2009-02-03 14:26","2009-02-03 14:26","","2245 Ne 36th Ave","Portland","Oregon","97212-5299","United States"
"Grant Union High School","High school","2009-02-03 14:26","2009-02-03 14:26","","911 S Canyon Blvd","John Day","Oregon","97845-1281","United States"
"Grant Watts Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","52000 Se Third Pl","Scappoose","Oregon","97056-3801","United States"
"Grants Pass High School","High school","2009-02-03 14:26","2009-02-03 14:26","","830 Ne 9th St","Grants Pass","Oregon","97526-1698","United States"
"Gray Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","785 Alameda Ave","Astoria","Oregon","97103-5998","United States"
"Gray Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","5505 Sw 23rd Ave","Portland","Oregon","97239-2099","United States"
"Green Acres School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","700 10th St","Lebanon","Oregon","97355-1300","United States"
"Green Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","4498 Sw Carnes Rd","Roseburg","Oregon","97470-4699","United States"
"Greenway Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","9150 Sw Downing Dr","Beaverton","Oregon","97008-8282","United States"
"Greenwood Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2300 N Spruce St","La Grande","Oregon","97850-3699","United States"
"Gresham Arthur Academy","Elementary","2009-02-03 14:19","2009-02-03 14:19","","","","Oregon","","United States"
"Gresham High School","High school","2009-02-03 14:26","2009-02-03 14:26","","1200 N Main Ave","Gresham","Oregon","97030-3899","United States"
"Griffin Creek Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2430 Griffin Creek Rd","Medford","Oregon","97501-4226","United States"
"Groner Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","23405 Sw Scholls Ferry Rd","Hillsboro","Oregon","97123-9317","United States"
"Grout Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","3119 Se Holgate Blvd","Portland","Oregon","97202-3498","United States"
"Grove Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","129 Se 15th St","Milton-freewater","Oregon","97862-1203","United States"
"Gubser Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","6610 14th Ave Ne","Keizer","Oregon","97303-1872","United States"
"Guy Lee Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","755 Harlow Rd","Springfield","Oregon","97477-1136","United States"
"Haines Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2090 Fourth St","Baker City","Oregon","97814-3391","United States"
"Hall Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2505 Ne 23rd St","Gresham","Oregon","97030-3146","United States"
"Hallinan Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","16800 Hawthorne Dr","Lake Oswego","Oregon","97034-6349","United States"
"Hallman Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","4000 Deerhaven Dr Ne","Salem","Oregon","97303-1368","United States"
"Hamilton Creek School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","32135 Berlin Rd","Lebanon","Oregon","97355-9731","United States"
"Hamlin Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","326 Centennial Blvd","Springfield","Oregon","97477-3043","United States"
"Hammond Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","4900 Bayne St Ne","Salem","Oregon","97305-3590","United States"
"Hanby Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","806 6th Ave","Gold Hill","Oregon","97525-9762","United States"
"Happy Valley Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","13865 Se King Rd","Portland","Oregon","97236-6099","United States"
"Harbor Lights Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","390 9th St Sw","Bandon","Oregon","97411-9012","United States"
"Harding Learning Center","ElementaryHigh schoolMiddle school","2012-02-09 11:13","2012-02-09 11:13","","755 S 7th CT","Coos Bay","Oregon","97420","United States"
"Harold Oliver Intermediate Center","Elementary","2009-02-03 14:19","2009-02-03 14:19","","15840 Se Taylor St","Portland","Oregon","97233-3239","United States"
"Harold Oliver Primary School Center","Elementary","2009-02-03 14:19","2009-02-03 14:19","","15811 Se Main St","Portland","Oregon","97233-3201","United States"
"Harper School","ElementaryMiddle schoolHigh school","2009-02-03 14:19","2009-02-03 14:19","","","","Oregon","","United States"
"Harris Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","1150 E 29th Ave","Eugene","Oregon","97403-1698","United States"
"Harrisburg Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","Po Box 247","Harrisburg","Oregon","97446-0247","United States"
"Harrisburg High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 209","Harrisburg","Oregon","97446-0209","United States"
"Harrisburg Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","Po Box 317","Harrisburg","Oregon","97446-0317","United States"
"Harrison Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","1000 S 10th","Cottage Grove","Oregon","97424-2599","United States"
"Harritt Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2112 Linwood St Nw","Salem","Oregon","97304-2134","United States"
"Hartley Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","701 Ne 185th Ave","Portland","Oregon","97230-7103","United States"
"Harvey Clarke Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2516 N  B  St","Forest Grove","Oregon","97116-1499","United States"
"Hatfield Marine Science Center","State college","2014-07-15 10:04","2014-07-15 10:04","","2030 SE Marine Science Drive","Newport","Oregon","97365","United States"
"Hauton B Lee Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1121 Ne 172nd Ave","Portland","Oregon","97230-6304","United States"
"Hawthorne Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","3205 Long St","Sweet Home","Oregon","97386-3093","United States"
"Hayesville Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","4545 Ward Dr Ne","Salem","Oregon","97304-3158","United States"
"Hayhurst Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","5037 Sw Iowa St","Portland","Oregon","97221-1799","United States"
"Hazel Green Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","5774 Hazel Green Rd Ne","Salem","Oregon","97305-9503","United States"
"Hazelbrook Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","11300 Sw Hazelbrook Rd","Tualatin","Oregon","97062-6980","United States"
"Hazeldale Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","20080 Sw Farmington Rd","Aloha","Oregon","97007-5425","United States"
"Head Start Sacajawea","ElementaryMiddle schoolHigh school","2009-02-03 14:19","2009-02-03 14:19","","4800 Ne 74th","Portland","Oregon","97218-3824","United States"
"Health & Science School","ElementaryMiddle schoolHigh school","2009-02-03 14:19","2009-02-03 14:19","","18640 Nw Walker Rd","Beaverton","Oregon","97006","United States"
"Hedrick Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1501 E Jackson St","Medford","Oregon","97504-7091","United States"
"Helensview High School","High school","2009-02-03 14:26","2009-02-03 14:26","","8678 Ne Sumner St","Portland","Oregon","97220-4613","United States"
"Helix School","ElementaryMiddle schoolHigh school","2009-02-03 14:19","2009-02-03 14:19","","Po Box 398","Helix","Oregon","97835-0398","United States"
"Helman Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","705 Helman St","Ashland","Oregon","97520-1199","United States"
"Henley Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","8205 Hwy 39","Klamath Falls","Oregon","97603-9788","United States"
"Henley High School","High school","2009-02-03 14:26","2009-02-03 14:26","","8245 Hwy 39","Klamath Falls","Oregon","97603-9797","United States"
"Henley Middle School","Middle school","2009-02-03 14:24","2009-02-03 14:24","","7925 Hwy 39","Klamath Falls","Oregon","97603-9799","United States"
"Henry Hill Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","750 5th St","Independence","Oregon","97351-1899","United States"
"Henry L Slater Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","800 N Fairview Ave","Burns","Oregon","97720-1199","United States"
"Heppner Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","Po Box 367","Heppner","Oregon","97836-0367","United States"
"Heppner Junior/senior High School","High school","2009-02-03 14:26","2009-02-03 14:26","","Po Box 67","Heppner","Oregon","97836-0067","United States"
"Heritage Elementary","Elementary","2009-02-03 14:19","2009-02-03 14:19","","440 Parr Rd","Woodburn","Oregon","97071-5568","United States"
"Hermiston High School","High school","2009-02-03 14:26","2009-02-03 14:26","","600 S 1st St","Hermiston","Oregon","97838-2399","United States"
"Hidden Valley High School","High school","2009-02-03 14:26","2009-02-03 14:26","","651 Murphy Creek Rd","Grants Pass","Oregon","97527-9499","United States"
"High Desert Middle School","Middle school","2009-02-03 14:24","2009-02-03 14:24","","61111 27th St","Bend","Oregon","97702-9631","United States"
"High Lakes Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2500 Nw High Lakes Lp","Bend","Oregon","97701-5923","United States"
"High School/independent Study, School Of Extended Studies","State college","2009-02-03 14:28","2009-02-03 14:28","","Po Box 1491","Portland","Oregon","97207-1491","United States"
"Highland Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","1845 Nw Highland Ave","Grants Pass","Oregon","97526-1098","United States"
"Highland Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","530 Highland Ave Ne","Salem","Oregon","97303-6899","United States"
"Highland Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","295 Ne 24th St","Gresham","Oregon","97030-2753","United States"
"Highland Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","2605 Longwood Dr","Reedsport","Oregon","97467-1799","United States"
"Highland Hills Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","450 Se 10th St","Hermiston","Oregon","97838-2072","United States"
"Highland Park Middle School","Middle school","2009-02-03 14:24","2009-02-03 14:24","","7000 Sw Wilson Ave","Beaverton","Oregon","97008-5527","United States"
"Highland School At Kenwood Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","701 Nw Newport Ave","Bend","Oregon","97701-1799","United States"
"Hilda Lahti Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","41535 Old Hwy 30","Astoria","Oregon","97103-8640","United States"
"Hillcrest Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","1100 Main St","North Bend","Oregon","97459-2604","United States"
"Hillsboro High School","High school","2009-02-03 14:26","2009-02-03 14:26","","3285 Se Rood Bridge Rd","Hillsboro","Oregon","97123-8654","United States"
"Hines Middle School","Middle school","2009-02-03 14:24","2009-02-03 14:24","","Po Box 38","Hines","Oregon","97738-0038","United States"
"Hiteon Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","13800 Sw Brockman Rd","Beaverton","Oregon","97008-7269","United States"
"Hogan Cedars Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","1770 Se Fleming Ave","Gresham","Oregon","97080-6397","United States"
"Holcomb Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","14625 S Holcomb Blvd","Oregon City","Oregon","97045-1399","United States"
"Holley Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","40336 Crawfordsville Dr","Sweet Home","Oregon","97386-9803","United States"
"Hollydale Elementary School","Elementary","2009-02-03 14:19","2009-02-03 14:19","","505 Sw Birdsdale Ave","Gresham","Oregon","97080-6799","United States"
