"School name","School type","Post date","Updated date","Blank","Street","City","Province","Postal Code","Country"
"Antonia Crater Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","203 W Foothills Dr","Newberg","Oregon","97132-9034","United States"
"Applegate Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","85955 Territorial Rd","Eugene","Oregon","97402-9206","United States"
"Applegate Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","14188 Hwy 238","Applegate","Oregon","97530-0025","United States"
"Arata Creek School","ElementaryMiddle schoolHigh school","2009-02-03 14:16","2009-02-03 14:16","","2470 Sw Halsey","Troutdale","Oregon","97060-1020","United States"
"Archer Glen Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","16155 Sw Sunset Blvd","Sherwood","Oregon","97140-8202","United States"
"Ardenwald Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","8950 Se 36th Ave","Milwaukie","Oregon","97222-5602","United States"
"Arleta Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","5109 Se 66th Ave","Portland","Oregon","97206-4599","United States"
"Arlington Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","Po Box 460","Arlington","Oregon","97812-0460","United States"
"Arlington High School","High school","2009-02-03 14:25","2009-02-03 14:25","","Po Box 10","Arlington","Oregon","97812-0010","United States"
"Armadillo Technical Institute","ElementaryMiddle schoolHigh school","2009-02-03 14:16","2009-02-03 14:16","","Po Box 1560","Phoenix","Oregon","97535-1560","United States"
"Armand Larive Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","199 E Ridgeway Ave","Hermiston","Oregon","97838-1888","United States"
"Arthur Academy","Elementary","2009-02-03 14:16","2009-02-03 14:16","","13717 Se Division St","Portland","Oregon","97236-2841","United States"
"Arts & Communication High School","High school","2009-02-03 14:25","2009-02-03 14:25","","11375 Sw Center St","Beaverton","Oregon","97005-2206","United States"
"Arts & Communication Middle Magnet School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","11375 Sw Center St","Beaverton","Oregon","97005-2206","United States"
"Arts & Technology Charter High School","High school","2009-02-03 14:25","2009-02-03 14:25","","8502 Sw Main St Ste 100","Wilsonville","Oregon","97070-6583","United States"
"Arts And Technology Academy At Jefferson","Elementary","2009-02-03 14:16","2009-02-03 14:16","","","","Oregon","","United States"
"Arts, Communication & Technology School","High school","2009-02-03 14:25","2009-02-03 14:25","","6941 N Central St","Portland","Oregon","97203-6299","United States"
"Ash Creek Elementary School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1360 N 16th St","Monmouth","Oregon","97361-9801","United States"
"Ashland High School","High school","2009-02-03 14:25","2009-02-03 14:25","","201 S Mountain Ave","Ashland","Oregon","97520-2194","United States"
"Ashland Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","100 Walker Ave","Ashland","Oregon","97520-1399","United States"
"Ashwood Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","Po Box 2","Ashwood","Oregon","97711-0002","United States"
"Astor Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","3550 Franklin Ave","Astoria","Oregon","97103-2599","United States"
"Astor Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","5601 N Yale St","Portland","Oregon","97203-5299","United States"
"Astoria Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1100 Klaskanine Ave","Astoria","Oregon","97103-5300","United States"
"Astoria Senior High School","High school","2009-02-03 14:25","2009-02-03 14:25","","1001 W Marine Dr","Astoria","Oregon","97103-5829","United States"
"Athena Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","375 S 5th St","Athena","Oregon","97813-6065","United States"
"Athey Creek Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","2900 Sw Borland Rd","West Linn","Oregon","97068-9197","United States"
"Atkinson Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","5800 Se Division St","Portland","Oregon","97206-1499","United States"
"Auburn Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","4612 Auburn Rd Ne","Salem","Oregon","97301-4914","United States"
"Aumsville Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","572 N 11th St","Aumsville","Oregon","97325-0177","United States"
"Available Project (No School)","Middle school","2010-06-05 22:23","2010-06-05 22:24","","PO Box 222","Portland","Oregon","97204","United States"
"Avery House Nature Center","Organization","2014-08-22 09:14","2014-08-22 09:14","","1200 SW Avery Park Dr,","Corvallis","Oregon","97333","United States"
"Awbrey Park Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","158 Spring Creek Dr","Eugene","Oregon","97404-1299","United States"
"Azalea Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","629 Easy St","Brookings","Oregon","97415-9109","United States"
"Azbuka Academy","High school","2009-02-03 14:25","2009-02-03 14:25","","1805 9th St","Columbia City","Oregon","97018-9740","United States"
"Baker Charter School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","999 Locust St Ne","Salem","Oregon","97301-0954","United States"
"Baker County Education Center","High school","2009-02-03 14:25","2009-02-03 14:25","","914 Front St","Haines","Oregon","97833","United States"
"Baker High School","High school","2009-02-03 14:25","2009-02-03 14:25","","2500 E St","Baker City","Oregon","97814-1599","United States"
"Baker Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","","","Oregon","","United States"
"Baker Prairie Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1859 Se Township Rd","Canby","Oregon","97013-9734","United States"
"Ballston Community School","ElementaryMiddle schoolHigh school","2009-02-03 14:16","2009-02-03 14:16","","Po Box 413","Amity","Oregon","97101-0413","United States"
"Bandon Senior High School","High school","2009-02-03 14:25","2009-02-03 14:25","","550 9th St Sw","Bandon","Oregon","97411-9014","United States"
"Banks Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","42350 Nw Trellis Way","Banks","Oregon","97106-6052","United States"
"Banks High School","High school","2009-02-03 14:25","2009-02-03 14:25","","450 S Main St","Banks","Oregon","97106-9008","United States"
"Banks Junior High School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","450 S Main St","Banks","Oregon","97106-9008","United States"
"Barnes Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","13730 Sw Walker Rd","Beaverton","Oregon","97005-1016","United States"
"Beach Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1710 N Humboldt St","Portland","Oregon","97217-3599","United States"
"Bear Creek Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","51 Se 13th St","Bend","Oregon","97702-1555","United States"
"Beaumont Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","4043 Ne Fremont St","Portland","Oregon","97212-1999","United States"
"Beaver Acres Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","2125 Sw 170th Ave","Beaverton","Oregon","97005-4347","United States"
"Beavercreek Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","21944 S Yeoman Rd","Beavercreek","Oregon","97004-9698","United States"
"Beaverton High School","High school","2009-02-03 14:25","2009-02-03 14:25","","13000 Sw Second St","Beaverton","Oregon","97005-2615","United States"
"Bellview Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1070 Tolman Creek Rd","Ashland","Oregon","97520-1498","United States"
"Bend Senior High School","High school","2009-02-03 14:25","2009-02-03 14:25","","230 Ne 6th St","Bend","Oregon","97701-5198","United States"
"Benson Polytechnic High School","High school","2009-02-03 14:25","2009-02-03 14:25","","546 Ne 12th Ave","Portland","Oregon","97232-2785","United States"
"Bethany Charter School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","11824 Hazelgreen Rd Ne","Silverton","Oregon","97381-9626","United States"
"Bethany Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","3305 Nw 174th Ave","Beaverton","Oregon","97006-4644","United States"
"Bethel Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","6580 State St","Salem","Oregon","97317-9042","United States"
"Beverly Cleary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","","","Oregon","","United States"
"Bhs Alternative Education","High school","2009-02-03 14:25","2009-02-03 14:25","","550 N Court Ave","Burns","Oregon","97720-1590","United States"
"Big Muddy Elementary","Elementary","2009-02-03 14:17","2009-02-03 14:17","","445 Se Buff St","Madras","Oregon","97741-1595","United States"
"Bilquist Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","15708 Se Webster Rd","Milwaukie","Oregon","97267-4299","United States"
"Biztech High School","High school","2009-02-03 14:25","2009-02-03 14:25","","3905 Se 91st Ave","Portland","Oregon","97266-2815","United States"
"Black Butte Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 150","Camp Sherman","Oregon","97730-0150","United States"
"Blanco School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 8","Port Orford","Oregon","97465-0008","United States"
"Blodgett Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 27","Blodgett","Oregon","97326-0027","United States"
"Blossom Gulch Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 509","Coos Bay","Oregon","97420-0102","United States"
"Blue Mountain Alternative High School","ElementaryMiddle schoolHigh school","2009-02-03 14:17","2009-02-03 14:17","","116 Nw Bridge St #8","John Day","Oregon","97845-1190","United States"
"Blue Mountain Charter School","ElementaryMiddle schoolHigh school","2009-02-03 14:17","2009-02-03 14:17","","76132 Blue Mtn School Rd","Cottage Grove","Oregon","97424-9491","United States"
"Blue Mountain Community College","Community college","2009-02-03 14:28","2009-02-03 14:28","","Po Box 100","Pendleton","Oregon","97801-1000","United States"
"Boeckman Creek Primary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 622","Wilsonville","Oregon","97070-0622","United States"
"Bohemia Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","721 S  R  St","Cottage Grove","Oregon","97424-1830","United States"
"Boise-eliot Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","620 N Fremont","Portland","Oregon","97227-1299","United States"
"Bolton Primary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","5933 Holmes St","West Linn","Oregon","97068-2773","United States"
"Bonanza Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 128","Bonanza","Oregon","97623-0128","United States"
"Bonanza Junior/senior High School","High school","2009-02-03 14:25","2009-02-03 14:25","","Po Box 128","Bonanza","Oregon","97623-0128","United States"
"Bonny Slope Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","","","Oregon","","United States"
"Boones Ferry Primary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 130","Wilsonville","Oregon","97070-0130","United States"
"Boring Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","Po Box 547","Sandy","Oregon","97055-0547","United States"
"Brattain Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","425 10th St","Springfield","Oregon","97477-4598","United States"
"Bridgeport Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","5505 Sw Borland Rd","Tualatin","Oregon","97062-9740","United States"
"Bridger Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","7910 Se Market St","Portland","Oregon","97215-3656","United States"
"Bridlemile Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","4300 Sw 47th Dr","Portland","Oregon","97221-3799","United States"
"Briggs Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","2355 Yolanda Ave","Springfield","Oregon","97477-1799","United States"
"Brixner Junior High School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","4727 Homedale Rd","Klamath Falls","Oregon","97603-8199","United States"
"Broadway Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1120 Broadway St","Seaside","Oregon","97138-7899","United States"
"Brockway Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","2520 Nw Brockway Rd","Winston","Oregon","97496-9646","United States"
"Brookings-harbor High School","High school","2009-02-03 14:25","2009-02-03 14:25","","629 Easy St","Brookings","Oregon","97415-9109","United States"
"Brooklyn Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1350 Washington St","Baker City","Oregon","97814-2933","United States"
"Brooks Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 9216","Brooks","Oregon","97305-9712","United States"
"Brookwood Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","3960 Se Cedar St","Hillsboro","Oregon","97123-7467","United States"
"Brush College Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","2623 Doaks Ferry Rd Nw","Salem","Oregon","97304-1318","United States"
"Bryant Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","4750 Sw Jean Rd","Lake Oswego","Oregon","97035-7198","United States"
"Buckingham Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","62560 Hamby Rd","Bend","Oregon","97701-9529","United States"
"Buckman Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","320 Se 16th Ave","Portland","Oregon","97214-1484","United States"
"Buena Vista Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1500 Queens Way","Eugene","Oregon","97401-5199","United States"
"Buff Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","375 Se Buff St","Madras","Oregon","97741-1535","United States"
"Bunker Hill Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 509","Coos Bay","Oregon","97420-0102","United States"
"Burns High School","High school","2009-02-03 14:25","2009-02-03 14:25","","1100 Oregon Ave","Burns","Oregon","97720-2399","United States"
"Burnt River School","ElementaryMiddle schoolHigh school","2009-02-03 14:17","2009-02-03 14:17","","Po Box 8","Unity","Oregon","97884-0008","United States"
"Bush Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","410 14th St Se","Salem","Oregon","97301-6315","United States"
"Butler Creek Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","2789 Sw Butler Rd","Gresham","Oregon","97080-8477","United States"
"Butte Creek Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","37569 S Hwy 213","Mt Angel","Oregon","97362-9601","United States"
"Butte Falls Charter School","ElementaryHigh schoolMiddle school","2014-09-16 14:54","2014-09-16 14:54","","720 Laurel Ave.","Butte Falls","Oregon","97522","United States"
"Butte Falls Charter School","ElementaryHigh schoolMiddle school","2014-09-09 17:24","2014-09-09 17:24","","625 N Fir St","Butte Falls","Oregon","97522","United States"
"Butte Falls Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 197","Butte Falls","Oregon","97522-0197","United States"
"Butte Falls Secondary","High school","2009-02-03 14:25","2009-02-03 14:25","","Po Box 167","Butte Falls","Oregon","97522-0167","United States"
"Butternut Creek Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","20395 Sw Florence St","Aloha","Oregon","97007-2243","United States"
"Cairo Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","531 Hwy 20/26","Ontario","Oregon","97914-8805","United States"
"Cal Young Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","2555 Gilham Rd","Eugene","Oregon","97401-1698","United States"
"Calapooia Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","830 Se 24th Ave","Albany","Oregon","97322-4243","United States"
"Camas Valley School","ElementaryMiddle schoolHigh school","2009-02-03 14:17","2009-02-03 14:17","","Po Box 57","Camas Valley","Oregon","97416-0057","United States"
"Camp Creek Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","37770 Upper Camp Creek Rd","Springfield","Oregon","97478-8753","United States"
"Campbell Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","11326 Se 47th Ave","Milwaukie","Oregon","97222-5499","United States"
"Canby High School","High school","2009-02-03 14:25","2009-02-03 14:25","","721 Sw 4th Ave","Canby","Oregon","97013-3999","United States"
"Candalaria Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","935 Hansen Ave S","Salem","Oregon","97302-5921","United States"
"Candy Lane Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","5901 Se Hull St","Milwaukie","Oregon","97267-6599","United States"
"Cannon Beach Elementary","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 277","Cannon Beach","Oregon","97110-0277","United States"
"Canyonville School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","Po Box 745","Canyonville","Oregon","97417-0745","United States"
"Capitol Hill Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","8401 Sw 17th Ave","Portland","Oregon","97219-4197","United States"
"Carlton Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","420 S Third St","Carlton","Oregon","97111-9605","United States"
"Carus School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","14412 S Carus Rd","Oregon City","Oregon","97045-9535","United States"
"Cascade Academy of Central Oregon","High schoolMiddle school","2010-10-07 12:33","2010-10-07 12:33","","2150 NE Studio RdSuite 2","Bend","Oregon","97701","United States"
"Cascade Christian High School","High school","2011-11-03 15:54","2011-11-03 15:54","","855 Chevy Way","Medford","Oregon","97504","United States"
"Cascade College","Private college","2009-02-03 14:29","2009-02-03 14:29","","9101 E Burnside St","Portland","Oregon","97216-1515","United States"
"Cascade Heights Public Charter School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","13515 Se Rusk Rd","Milwaukie","Oregon","97222","United States"
"Cascade Junior High School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","10226 Marion Rd Se","Turner","Oregon","97392-9721","United States"
"Cascade Locks School","ElementaryMiddle schoolHigh school","2009-02-03 14:17","2009-02-03 14:17","","Po Box 279","Cascade Locks","Oregon","97014-0279","United States"
"Cascade Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","19619 Mountaineer Wy","Bend","Oregon","97702-1999","United States"
"Cascade Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","1525 Echo Hollow Rd","Eugene","Oregon","97402-1398","United States"
"Cascade Senior High School","High school","2009-02-03 14:25","2009-02-03 14:25","","10226 Marion Rd Se","Turner","Oregon","97392-9721","United States"
"Cascades School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","2163 7th St","Lebanon","Oregon","97355-1119","United States"
"Cascadia School","Elementary","2016-03-07 09:59","2016-03-07 09:59","","10606 NE 14th St.","Vancouver","Washington","98664","United States"
"Cecil Sly Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1400 Se 2nd St","Prineville","Oregon","97754-2499","United States"
"Cecile Trost Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","800 S Redwood","Canby","Oregon","97013-9780","United States"
"Cedar Mill Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","10265 Nw Cornell Rd","Portland","Oregon","97229-5248","United States"
"Cedar Park Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","11100 Sw Park Way","Portland","Oregon","97225","United States"
"Cedar Ridge Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","Po Box 547","Sandy","Oregon","97055-0547","United States"
"Cedaroak Park Primary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","4515 S Cedaroak Dr","West Linn","Oregon","97068-1618","United States"
"Centennial Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1315 Aspen St","Springfield","Oregon","97477-7615","United States"
"Centennial Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","38875 Nw First Ave","Scio","Oregon","97374-9502","United States"
"Centennial High School","High school","2009-02-03 14:25","2009-02-03 14:25","","3505 Se 182nd Ave","Gresham","Oregon","97030-5028","United States"
"Centennial Learning Center","High school","2009-02-03 14:25","2009-02-03 14:25","","17630 Se Main St","Portland","Oregon","97233-5044","United States"
"Centennial Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","17650 Se Brooklyn St","Portland","Oregon","97236-1045","United States"
"Center For Advanced Learning","High school","2009-02-03 14:25","2009-02-03 14:25","","1484 Nw Civic Dr","Gresham","Oregon","97030","United States"
"Central Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","402  K  Ave","La Grande","Oregon","97850-1398","United States"
"Central Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","336 9th Ave Sw","Albany","Oregon","97321-2493","United States"
"Central High School","High school","2009-02-03 14:25","2009-02-03 14:25","","1530 Monmouth St","Independence","Oregon","97351-1097","United States"
"Central Howell Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","8832 Silverton Rd Ne","Silverton","Oregon","97381-9623","United States"
"Central Linn Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","239 W 2nd St","Halsey","Oregon","97348-9615","United States"
"Central Linn High School","High school","2009-02-03 14:25","2009-02-03 14:25","","32433 Hwy 228","Halsey","Oregon","97348-9720","United States"
"Central Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","306 Sw 2nd Ave","Milton-freewater","Oregon","97862-1395","United States"
"Central Oregon Community College","Community college","2009-02-03 14:28","2009-02-03 14:28","","2600 Nw College Way","Bend","Oregon","97701-5998","United States"
"Central Point Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","450 S 4th St","Central Point","Oregon","97502-2297","United States"
"Century High School","High school","2009-02-03 14:25","2009-02-03 14:25","","2000 Se Century Blvd","Hillsboro","Oregon","97123","United States"
"Cesar Chavez Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1510 W 14th Ave","Eugene","Oregon","97402-3896","United States"
"Chapman Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1445 Nw 26th Ave","Portland","Oregon","97210-2498","United States"
"Chapman Hill Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","1500 Doaks Ferry Rd Nw","Salem","Oregon","97304-2457","United States"
"Charlemagne At Fox Hollow Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","5055 Mahalo","Eugene","Oregon","97405-4073","United States"
"Charles F Tigard Elementary School","Elementary","2009-02-03 14:17","2009-02-03 14:17","","12850 Sw Grant St","Tigard","Oregon","97223-5801","United States"
