"Title","Nid","Uid","Site Name","Description","File"
"General Stream Survey Data 2008-2010","2996","109","Enterprise City Park","general_stream_survey_2008_to_2010.xls","sites/streamwebs.org/files/user/arbusch/files/general_stream_survey_2008_to_2010.xls"
"General Stream Survey Data 2008-2010","2997","109","Enterprise Marr Pond Site","general_stream_survey_data_2008-2010_marr_pond_site.xls","sites/streamwebs.org/files/user/arbusch/files/general_stream_survey_data_2008-2010_marr_pond_site.xls"
"Macroinvertebrate Pollution Index Data 2008-2010","2998","109","Enterprise Marr Pond Site","macroinvertebrate_pollution_index_data_enterprise_marr_pond.xls","sites/streamwebs.org/files/user/arbusch/files/macroinvertebrate_pollution_index_data_enterprise_marr_pond.xls"
"WENAHA RIVER DATA 2011","3346","109","Wenaha River","wenaha_river.xls","sites/streamwebs.org/files/user/arbusch/files/wenaha_river_0.xls"
"GRANDE RONDE RIVER DATA 2011","3349","109","Grande Ronde River","grande_ronde_river.xls","sites/streamwebs.org/files/user/arbusch/files/grande_ronde_river_0.xls"
"IMNAHA RIVER DATA 2011","3352","109","Imnaha River","imnaha_river__data.xls","sites/streamwebs.org/files/user/arbusch/files/imnaha_river__data_0.xls"
"CAMP CREEK DATA 2011","3355","109","Camp Creek","camp_creek_data.xls","sites/streamwebs.org/files/user/arbusch/files/camp_creek_data_0.xls"
"Joseph City Park Data for all four stations 2007 to 2016","3585","109","Joseph City Park","wallowa_river_-_jcp_data.xls","sites/streamwebs.org/files/user/arbusch/files/wallowa_river_-_jcp_data_1.xls"
"Joseph Prairie Creek Data for all four stations 2007-2016","3591","109","Joseph Prairie Creek","prairie_creek_-_johnson_ranch_data.xls","sites/streamwebs.org/files/user/arbusch/files/prairie_creek_-_johnson_ranch_data_1.xls"
"WALLOWA RIVER TAMKLIKS SITE DATA FOR ALL STATIONS 2008-2016","3615","109","Wallowa River Tamkaliks Site","wallowa_river_-_tamkaliks_data.xls","sites/streamwebs.org/files/user/arbusch/files/wallowa_river_-_tamkaliks_data_0.xls"
"Bear Creek Excel Spreadsheet Data from all four stations 2008-2016","3622","109","Bear Creek","bear_creek_data.xls","sites/streamwebs.org/files/user/arbusch/files/bear_creek_data_0.xls"
"SW Water Quality Packet","3811","4","Tenino Court Site","sw_waterquality_packet.pdf","sites/streamwebs.org/files/user/ryan/files/sw_waterquality_packet.pdf"
"LWD Site 1 Drawing","3924","300","Bottom Creek StreamBank Instream Wood","site_1_placement_sketch.pdf","sites/streamwebs.org/files/user/coos_watershed_association/files/site_1_placement_sketch.pdf"
"LWD Placement Drawing Site 2","3926","300","Bottom Creek StreamBank Instream Wood","site_2_placement_sketch.pdf","sites/streamwebs.org/files/user/coos_watershed_association/files/site_2_placement_sketch.pdf"
"LWD Placement Site 3","3927","300","Bottom Creek StreamBank Instream Wood","site_3_placement_sketch.pdf","sites/streamwebs.org/files/user/coos_watershed_association/files/site_3_placement_sketch.pdf"
"LWD Placement Drawing Site 4","3928","300","Bottom Creek StreamBank Instream Wood","site_4_placement_sketch.pdf","sites/streamwebs.org/files/user/coos_watershed_association/files/site_4_placement_sketch.pdf"
"Prairie Creek Data 2008-2016","4306","109","Enterprise City Park","current_prairie_creek-_enterprise_city_park_data.xls","sites/streamwebs.org/files/user/arbusch/files/current_prairie_creek-_enterprise_city_park_data.xls"
"Enterprise Marr Pond site 2008-2016","4307","109","Enterprise Marr Pond Site","current_wallowa_river_-_marr_pond_wildlife_area_data.xls","sites/streamwebs.org/files/user/arbusch/files/current_wallowa_river_-_marr_pond_wildlife_area_data.xls"
"Bear Creek Fish Sampling Table 10/30/2012","4599","109","Bear Creek","wetfishsamplingtable_bear_creek_10302012.doc","sites/streamwebs.org/files/user/arbusch/files/wetfishsamplingtable_bear_creek_10302012.doc"
"Spot 1: Lowest Reach","4603","361","Matson Creek MWS Youth Program","matson_creek_channel_assessment_1.pdf","sites/streamwebs.org/files/user/samstephens/files/matson_creek_channel_assessment_1.pdf"
"2012 Fish Sampling Data","4637","109","Joseph Prairie Creek","wetfishsamplingtable_prairie_creek_johnson_ranch_11052012.doc","sites/streamwebs.org/files/user/arbusch/files/wetfishsamplingtable_prairie_creek_johnson_ranch_11052012.doc"
"Tree Swallow Nest Box Monitoring - May, 24 2013","4948","300","Pony Creek MWS Youth Program","treeswallow_boxes_data.pdf","sites/streamwebs.org/files/user/coos_watershed_association/files/treeswallow_boxes_data.pdf"
"important stuff file","5584","239","Outer Space","aor_2010_conference_program.pdf","sites/streamwebs.org/files/user/tdw/files/aor_2010_conference_program.pdf"
"Wallowa River Wolfe Ranch Data 2014-2016","6641","109","Wallowa River Wolfe Ranch","wallowa_river_wolf_property_online.xls","sites/streamwebs.org/files/user/arbusch/files/wallowa_river_wolf_property_online.xls"
"Lostine River Wolfe Ranch Data 2014-2016","6646","109","Lostine River Wolfe Ranch","lostine_river_wolf_property_online.xls","sites/streamwebs.org/files/user/arbusch/files/lostine_river_wolf_property_online.xls"
"test file","6692","683","Reed Canyon","dorshei_tzedek_letter.pdf","sites/streamwebs.org/files/user/felix_dworkin/files/dorshei_tzedek_letter.pdf"
"Urban Habitat Restoration Poster","12516","601","Viking Creek 9th St.","urban_habitat_restoration_project.pdf","sites/streamwebs.org/files/user/oneillr/files/urban_habitat_restoration_project.pdf"
"LBSW Data Sheets, Hawthorne","41846","611","Hawthorne Salmon Watch","lbsw_data_sheets_hawthorne.pdf","sites/streamwebs.org/files/user/south_santiam_watershed_council/files/lbsw_data_sheets_hawthorne.pdf"
"LBSW Data Sheets 09.21.17","41851","611","Seven Oak Salmon Watch, Durski","lbsw_data_sheets_durski_09.21.17.pdf","sites/streamwebs.org/files/user/south_santiam_watershed_council/files/lbsw_data_sheets_durski_09.21.17.pdf"
"LBSW Data Sheets, Pioneer","42141","611","Pioneer Salmon Watch","lbsw_data_sheets_pioneer.pdf","sites/streamwebs.org/files/user/south_santiam_watershed_council/files/lbsw_data_sheets_pioneer.pdf"
"LBSW Data Sheets, Foster","42206","611","Foster Salmon Watch","lbsw_data_sheet_foster.pdf","sites/streamwebs.org/files/user/south_santiam_watershed_council/files/lbsw_data_sheet_foster.pdf"
