"Fecal Coliform (CFU/100mL)","Type","Nid","Fecal Coliform (CFU/100mL) (field_fecal_coliform) - delta"
"","Data: Water Quality","2758",""
"","Data: Water Quality","2758","1"
"","Data: Water Quality","2758","2"
"","Data: Water Quality","2758","3"
"","Data: Water Quality","2759",""
"","Data: Water Quality","2759","1"
"","Data: Water Quality","2759","2"
"","Data: Water Quality","2759","3"
"","Data: Water Quality","2760",""
"","Data: Water Quality","2760","1"
"","Data: Water Quality","2760","2"
"","Data: Water Quality","2760","3"
"","Data: Water Quality","2761",""
"","Data: Water Quality","2761","1"
"","Data: Water Quality","2761","2"
"","Data: Water Quality","2761","3"
"","Data: Water Quality","2769",""
"","Data: Water Quality","2769","1"
"","Data: Water Quality","2769","2"
"","Data: Water Quality","2769","3"
"","Data: Water Quality","2770",""
"","Data: Water Quality","2770","1"
"","Data: Water Quality","2770","2"
"","Data: Water Quality","2770","3"
"","Data: Water Quality","2771",""
"","Data: Water Quality","2771","1"
"","Data: Water Quality","2771","2"
"","Data: Water Quality","2771","3"
"","Data: Water Quality","2783",""
"","Data: Water Quality","2783","1"
"","Data: Water Quality","2783","2"
"","Data: Water Quality","2783","3"
"","Data: Water Quality","2784",""
"","Data: Water Quality","2784","1"
"","Data: Water Quality","2784","2"
"","Data: Water Quality","2784","3"
"","Data: Water Quality","2785",""
"","Data: Water Quality","2785","1"
"","Data: Water Quality","2785","2"
"","Data: Water Quality","2785","3"
"","Data: Water Quality","2791",""
"","Data: Water Quality","2791","1"
"","Data: Water Quality","2791","2"
"","Data: Water Quality","2791","3"
"","Data: Water Quality","2794",""
"","Data: Water Quality","2794","1"
"","Data: Water Quality","2794","2"
"","Data: Water Quality","2794","3"
"","Data: Water Quality","2795",""
"","Data: Water Quality","2795","1"
"","Data: Water Quality","2795","2"
"","Data: Water Quality","2795","3"
"","Data: Water Quality","2796",""
"","Data: Water Quality","2796","1"
"","Data: Water Quality","2796","2"
"","Data: Water Quality","2796","3"
"","Data: Water Quality","2818",""
"","Data: Water Quality","2818","1"
"","Data: Water Quality","2818","2"
"","Data: Water Quality","2818","3"
"","Data: Water Quality","2819",""
"","Data: Water Quality","2819","1"
"","Data: Water Quality","2819","2"
"","Data: Water Quality","2819","3"
"","Data: Water Quality","2820",""
"","Data: Water Quality","2820","1"
"","Data: Water Quality","2820","2"
"","Data: Water Quality","2820","3"
"","Data: Water Quality","2821",""
"","Data: Water Quality","2821","1"
"","Data: Water Quality","2821","2"
"","Data: Water Quality","2821","3"
"","Data: Water Quality","2871",""
"","Data: Water Quality","2871","1"
"","Data: Water Quality","2871","2"
"","Data: Water Quality","2871","3"
"","Data: Water Quality","2880",""
"","Data: Water Quality","2880","1"
"","Data: Water Quality","2880","2"
"","Data: Water Quality","2880","3"
"","Data: Water Quality","2882",""
"","Data: Water Quality","2882","1"
"","Data: Water Quality","2882","2"
"","Data: Water Quality","2882","3"
"","Data: Water Quality","2896",""
"","Data: Water Quality","2896","1"
"","Data: Water Quality","2896","2"
"","Data: Water Quality","2896","3"
"","Data: Water Quality","2908",""
"","Data: Water Quality","2908","1"
"","Data: Water Quality","2908","2"
"","Data: Water Quality","2908","3"
"","Data: Water Quality","2909",""
"","Data: Water Quality","2909","1"
"","Data: Water Quality","2909","2"
"","Data: Water Quality","2909","3"
"1","Data: Water Quality","2925",""
"2","Data: Water Quality","2925","1"
"1","Data: Water Quality","2925","2"
"1","Data: Water Quality","2925","3"
"","Data: Water Quality","2935",""
"","Data: Water Quality","2935","1"
"","Data: Water Quality","2935","2"
"","Data: Water Quality","2935","3"
"","Data: Water Quality","2939",""
"","Data: Water Quality","2939","1"
"","Data: Water Quality","2939","2"
"","Data: Water Quality","2939","3"
"","Data: Water Quality","2940",""
"","Data: Water Quality","2940","1"
"","Data: Water Quality","2940","2"
"","Data: Water Quality","2940","3"
"","Data: Water Quality","2944",""
"","Data: Water Quality","2944","1"
"","Data: Water Quality","2944","2"
"","Data: Water Quality","2944","3"
"","Data: Water Quality","2945",""
"","Data: Water Quality","2945","1"
"","Data: Water Quality","2945","2"
"","Data: Water Quality","2945","3"
"","Data: Water Quality","2957",""
"","Data: Water Quality","2957","1"
"","Data: Water Quality","2957","2"
"","Data: Water Quality","2957","3"
"","Data: Water Quality","2959",""
"","Data: Water Quality","2959","1"
"","Data: Water Quality","2959","2"
"","Data: Water Quality","2959","3"
"","Data: Water Quality","2960",""
"","Data: Water Quality","2960","1"
"","Data: Water Quality","2960","2"
"","Data: Water Quality","2960","3"
"","Data: Water Quality","2961",""
"","Data: Water Quality","2961","1"
"","Data: Water Quality","2961","2"
"","Data: Water Quality","2961","3"
"","Data: Water Quality","2962",""
"","Data: Water Quality","2962","1"
"","Data: Water Quality","2962","2"
"","Data: Water Quality","2962","3"
"","Data: Water Quality","2963",""
"","Data: Water Quality","2963","1"
"","Data: Water Quality","2963","2"
"","Data: Water Quality","2963","3"
"","Data: Water Quality","2965",""
"","Data: Water Quality","2965","1"
"","Data: Water Quality","2965","2"
"","Data: Water Quality","2965","3"
"","Data: Water Quality","2966",""
"","Data: Water Quality","2966","1"
"","Data: Water Quality","2966","2"
"","Data: Water Quality","2966","3"
"","Data: Water Quality","2967",""
"","Data: Water Quality","2967","1"
"","Data: Water Quality","2967","2"
"","Data: Water Quality","2967","3"
"","Data: Water Quality","2970",""
"","Data: Water Quality","2970","1"
"","Data: Water Quality","2970","2"
"","Data: Water Quality","2970","3"
"","Data: Water Quality","2979",""
"","Data: Water Quality","2979","1"
"","Data: Water Quality","2979","2"
"","Data: Water Quality","2979","3"
"","Data: Water Quality","2981",""
"","Data: Water Quality","2981","1"
"","Data: Water Quality","2981","2"
"","Data: Water Quality","2981","3"
"","Data: Water Quality","2990",""
"","Data: Water Quality","2990","1"
"","Data: Water Quality","2990","2"
"","Data: Water Quality","2990","3"
"","Data: Water Quality","2991",""
"","Data: Water Quality","2991","1"
"","Data: Water Quality","2991","2"
"","Data: Water Quality","2991","3"
"","Data: Water Quality","3017",""
"","Data: Water Quality","3017","1"
"","Data: Water Quality","3017","2"
"","Data: Water Quality","3017","3"
"","Data: Water Quality","3043",""
"","Data: Water Quality","3043","1"
"","Data: Water Quality","3043","2"
"","Data: Water Quality","3043","3"
"","Data: Water Quality","3044",""
"","Data: Water Quality","3044","1"
"","Data: Water Quality","3044","2"
"","Data: Water Quality","3044","3"
"","Data: Water Quality","3045",""
"","Data: Water Quality","3045","1"
"","Data: Water Quality","3045","2"
"","Data: Water Quality","3045","3"
"","Data: Water Quality","3057",""
"","Data: Water Quality","3057","1"
"","Data: Water Quality","3057","2"
"","Data: Water Quality","3057","3"
"","Data: Water Quality","3063",""
"","Data: Water Quality","3063","1"
"","Data: Water Quality","3063","2"
"","Data: Water Quality","3063","3"
"","Data: Water Quality","3071",""
"","Data: Water Quality","3071","1"
"","Data: Water Quality","3071","2"
"","Data: Water Quality","3071","3"
"","Data: Water Quality","3085",""
"","Data: Water Quality","3085","1"
"","Data: Water Quality","3085","2"
"","Data: Water Quality","3085","3"
"","Data: Water Quality","3087",""
"","Data: Water Quality","3087","1"
"","Data: Water Quality","3087","2"
"","Data: Water Quality","3087","3"
"","Data: Water Quality","3093",""
"","Data: Water Quality","3093","1"
"","Data: Water Quality","3093","2"
