"pH","Type","Nid","pH (field_ph) - delta"
"5.51","Data: Water Quality","10426","3"
"6.2","Data: Water Quality","10431",""
"5.89","Data: Water Quality","10431","1"
"6.27","Data: Water Quality","10431","2"
"5.51","Data: Water Quality","10431","3"
"6.2","Data: Water Quality","10436",""
"5.89","Data: Water Quality","10436","1"
"6.27","Data: Water Quality","10436","2"
"5.51","Data: Water Quality","10436","3"
"6.2","Data: Water Quality","10441",""
"5.89","Data: Water Quality","10441","1"
"6.27","Data: Water Quality","10441","2"
"5.51","Data: Water Quality","10441","3"
"9.24","Data: Water Quality","10456",""
"5.5","Data: Water Quality","10456","1"
"7.15","Data: Water Quality","10456","2"
"7.1","Data: Water Quality","10456","3"
"9.24","Data: Water Quality","10476",""
"5.5","Data: Water Quality","10476","1"
"7.15","Data: Water Quality","10476","2"
"7.1","Data: Water Quality","10476","3"
"9.24","Data: Water Quality","10481",""
"5.5","Data: Water Quality","10481","1"
"7.15","Data: Water Quality","10481","2"
"7.1","Data: Water Quality","10481","3"
"7.33","Data: Water Quality","10491",""
"7.11","Data: Water Quality","10491","1"
"5.3","Data: Water Quality","10491","2"
"6.14","Data: Water Quality","10491","3"
"9.24","Data: Water Quality","10516",""
"5.5","Data: Water Quality","10516","1"
"7.15","Data: Water Quality","10516","2"
"7.1","Data: Water Quality","10516","3"
"7.98","Data: Water Quality","10521",""
"7.88","Data: Water Quality","10521","1"
"7.6","Data: Water Quality","10521","2"
"7.6","Data: Water Quality","10521","3"
"9.1","Data: Water Quality","10536",""
"9.5","Data: Water Quality","10536","1"
"9.9","Data: Water Quality","10536","2"
"12.5","Data: Water Quality","10536","3"
"6.2","Data: Water Quality","10551",""
"5.89","Data: Water Quality","10551","1"
"6.27","Data: Water Quality","10551","2"
"5.51","Data: Water Quality","10551","3"
"9.24","Data: Water Quality","10576",""
"5.5","Data: Water Quality","10576","1"
"7.15","Data: Water Quality","10576","2"
"7.1","Data: Water Quality","10576","3"
"9.24","Data: Water Quality","10581",""
"5.5","Data: Water Quality","10581","1"
"7.15","Data: Water Quality","10581","2"
"7.1","Data: Water Quality","10581","3"
"9.24","Data: Water Quality","10586",""
"5.5","Data: Water Quality","10586","1"
"7.15","Data: Water Quality","10586","2"
"7.1","Data: Water Quality","10586","3"
"9.24","Data: Water Quality","10591",""
"5.5","Data: Water Quality","10591","1"
"7.15","Data: Water Quality","10591","2"
"7.1","Data: Water Quality","10591","3"
"9.24","Data: Water Quality","10601",""
"5.5","Data: Water Quality","10601","1"
"7.15","Data: Water Quality","10601","2"
"7.1","Data: Water Quality","10601","3"
"6.2","Data: Water Quality","10611",""
"5.89","Data: Water Quality","10611","1"
"6.27","Data: Water Quality","10611","2"
"5.51","Data: Water Quality","10611","3"
"6.2","Data: Water Quality","10616",""
"5.89","Data: Water Quality","10616","1"
"6.27","Data: Water Quality","10616","2"
"5.5","Data: Water Quality","10616","3"
"6.2","Data: Water Quality","10621",""
"5.89","Data: Water Quality","10621","1"
"6.27","Data: Water Quality","10621","2"
"5.51","Data: Water Quality","10621","3"
"9.24","Data: Water Quality","10631",""
"5.5","Data: Water Quality","10631","1"
"7.15","Data: Water Quality","10631","2"
"7.1","Data: Water Quality","10631","3"
"9.24","Data: Water Quality","10636",""
"5.5","Data: Water Quality","10636","1"
"7.15","Data: Water Quality","10636","2"
"7.1","Data: Water Quality","10636","3"
"9.24","Data: Water Quality","10641",""
"5.5","Data: Water Quality","10641","1"
"7.15","Data: Water Quality","10641","2"
"7.1","Data: Water Quality","10641","3"
"7.98","Data: Water Quality","10646",""
"7.88","Data: Water Quality","10646","1"
"7.6","Data: Water Quality","10646","2"
"7.6","Data: Water Quality","10646","3"
"9.24","Data: Water Quality","10656",""
"5.5","Data: Water Quality","10656","1"
"7.15","Data: Water Quality","10656","2"
"7.1","Data: Water Quality","10656","3"
"5.5","Data: Water Quality","10691",""
"","Data: Water Quality","10691","1"
"","Data: Water Quality","10691","2"
"","Data: Water Quality","10691","3"
"6.22","Data: Water Quality","10696",""
"","Data: Water Quality","10696","1"
"","Data: Water Quality","10696","2"
"","Data: Water Quality","10696","3"
"6.68","Data: Water Quality","10706",""
"","Data: Water Quality","10706","1"
"","Data: Water Quality","10706","2"
"","Data: Water Quality","10706","3"
"6.22","Data: Water Quality","10711",""
"","Data: Water Quality","10711","1"
"","Data: Water Quality","10711","2"
"","Data: Water Quality","10711","3"
"7.4","Data: Water Quality","10726",""
"","Data: Water Quality","10726","1"
"","Data: Water Quality","10726","2"
"","Data: Water Quality","10726","3"
"7","Data: Water Quality","10766",""
"7","Data: Water Quality","10766","1"
"8","Data: Water Quality","10766","2"
"","Data: Water Quality","10766","3"
"6","Data: Water Quality","10781",""
"6","Data: Water Quality","10781","1"
"","Data: Water Quality","10781","2"
"","Data: Water Quality","10781","3"
"7","Data: Water Quality","10786",""
"","Data: Water Quality","10786","1"
"","Data: Water Quality","10786","2"
"","Data: Water Quality","10786","3"
"7","Data: Water Quality","10791",""
"7","Data: Water Quality","10791","1"
"7","Data: Water Quality","10791","2"
"","Data: Water Quality","10791","3"
"8","Data: Water Quality","10836",""
"8","Data: Water Quality","10836","1"
"8","Data: Water Quality","10836","2"
"","Data: Water Quality","10836","3"
"7","Data: Water Quality","10841",""
"7","Data: Water Quality","10841","1"
"7","Data: Water Quality","10841","2"
"","Data: Water Quality","10841","3"
"8","Data: Water Quality","10846",""
"8","Data: Water Quality","10846","1"
"8","Data: Water Quality","10846","2"
"","Data: Water Quality","10846","3"
"8","Data: Water Quality","10851",""
"8","Data: Water Quality","10851","1"
"","Data: Water Quality","10851","2"
"","Data: Water Quality","10851","3"
"7","Data: Water Quality","10861",""
"7","Data: Water Quality","10861","1"
"7","Data: Water Quality","10861","2"
"","Data: Water Quality","10861","3"
"7","Data: Water Quality","10866",""
"","Data: Water Quality","10866","1"
"","Data: Water Quality","10866","2"
"","Data: Water Quality","10866","3"
"7","Data: Water Quality","10871",""
"7","Data: Water Quality","10871","1"
"7","Data: Water Quality","10871","2"
"","Data: Water Quality","10871","3"
"7","Data: Water Quality","10876",""
"8","Data: Water Quality","10876","1"
"","Data: Water Quality","10876","2"
"","Data: Water Quality","10876","3"
"6","Data: Water Quality","10881",""
"7","Data: Water Quality","10881","1"
"7","Data: Water Quality","10881","2"
"","Data: Water Quality","10881","3"
"7","Data: Water Quality","10886",""
"","Data: Water Quality","10886","1"
"","Data: Water Quality","10886","2"
"","Data: Water Quality","10886","3"
"7","Data: Water Quality","10911",""
"7","Data: Water Quality","10911","1"
"7","Data: Water Quality","10911","2"
"7","Data: Water Quality","10911","3"
"7","Data: Water Quality","10916",""
"7","Data: Water Quality","10916","1"
"7","Data: Water Quality","10916","2"
"7","Data: Water Quality","10916","3"
"7","Data: Water Quality","10941",""
"7","Data: Water Quality","10941","1"
"8","Data: Water Quality","10941","2"
"8","Data: Water Quality","10941","3"
"7","Data: Water Quality","10946",""
"8","Data: Water Quality","10946","1"
"7","Data: Water Quality","10946","2"
"7","Data: Water Quality","10946","3"
"7","Data: Water Quality","10951",""
"7","Data: Water Quality","10951","1"
"6","Data: Water Quality","10951","2"
"7","Data: Water Quality","10951","3"
"7","Data: Water Quality","10976",""
"","Data: Water Quality","10976","1"
"","Data: Water Quality","10976","2"
"","Data: Water Quality","10976","3"
"","Data: Water Quality","11021",""
"","Data: Water Quality","11021","1"
"","Data: Water Quality","11021","2"
"","Data: Water Quality","11021","3"
"7","Data: Water Quality","11026",""
"","Data: Water Quality","11026","1"
"","Data: Water Quality","11026","2"
"","Data: Water Quality","11026","3"
"7","Data: Water Quality","11031",""
"","Data: Water Quality","11031","1"
"","Data: Water Quality","11031","2"
"","Data: Water Quality","11031","3"
"7","Data: Water Quality","11036",""
"","Data: Water Quality","11036","1"
"","Data: Water Quality","11036","2"
"","Data: Water Quality","11036","3"
"7","Data: Water Quality","11041",""
"","Data: Water Quality","11041","1"
"","Data: Water Quality","11041","2"
"","Data: Water Quality","11041","3"
"7.19","Data: Water Quality","11051",""
"5.92","Data: Water Quality","11051","1"
"5.5","Data: Water Quality","11051","2"
"","Data: Water Quality","11051","3"
"7","Data: Water Quality","11066",""
"7","Data: Water Quality","11066","1"
"7","Data: Water Quality","11066","2"
"9","Data: Water Quality","11066","3"
"7","Data: Water Quality","11071",""
"6","Data: Water Quality","11071","1"
"","Data: Water Quality","11071","2"
"","Data: Water Quality","11071","3"
"7","Data: Water Quality","11096",""
"6","Data: Water Quality","11096","1"
"6","Data: Water Quality","11096","2"
"7","Data: Water Quality","11096","3"
"6","Data: Water Quality","11101",""
"6","Data: Water Quality","11101","1"
"6","Data: Water Quality","11101","2"
"7","Data: Water Quality","11101","3"
"6","Data: Water Quality","11121",""
"","Data: Water Quality","11121","1"
"","Data: Water Quality","11121","2"
"","Data: Water Quality","11121","3"
"6","Data: Water Quality","11136",""
"6.48","Data: Water Quality","11136","1"
"6.28","Data: Water Quality","11136","2"
"5.67","Data: Water Quality","11136","3"
"7.1","Data: Water Quality","11141",""
"6.9","Data: Water Quality","11141","1"
"6.58","Data: Water Quality","11141","2"
"5.71","Data: Water Quality","11141","3"
"10.7","Data: Water Quality","11146",""
"10.4","Data: Water Quality","11146","1"
"9.8","Data: Water Quality","11146","2"
"9.2","Data: Water Quality","11146","3"
"6","Data: Water Quality","11151",""
"6.5","Data: Water Quality","11151","1"
"5.5","Data: Water Quality","11151","2"
"5","Data: Water Quality","11151","3"
"6","Data: Water Quality","11161",""
"6.5","Data: Water Quality","11161","1"
"5.5","Data: Water Quality","11161","2"
"5","Data: Water Quality","11161","3"
"6","Data: Water Quality","11356",""
"7","Data: Water Quality","11356","1"
"7","Data: Water Quality","11356","2"
"7","Data: Water Quality","11356","3"
"","Data: Water Quality","11361",""
"","Data: Water Quality","11361","1"
"","Data: Water Quality","11361","2"
"","Data: Water Quality","11361","3"
"","Data: Water Quality","11381",""
"","Data: Water Quality","11381","1"
"","Data: Water Quality","11381","2"
"","Data: Water Quality","11381","3"
"7","Data: Water Quality","11386",""
"","Data: Water Quality","11386","1"
"","Data: Water Quality","11386","2"
"","Data: Water Quality","11386","3"
"6.17","Data: Water Quality","11411",""
"6.12","Data: Water Quality","11411","1"
"5.9","Data: Water Quality","11411","2"
"6.3","Data: Water Quality","11411","3"
"6.8","Data: Water Quality","11416",""
"5.7","Data: Water Quality","11416","1"
"5.9","Data: Water Quality","11416","2"
"6.1","Data: Water Quality","11416","3"
"6.21","Data: Water Quality","11421",""
"6.85","Data: Water Quality","11421","1"
"6.34","Data: Water Quality","11421","2"
"6.36","Data: Water Quality","11421","3"
"6","Data: Water Quality","11431",""
"","Data: Water Quality","11431","1"
"","Data: Water Quality","11431","2"
"","Data: Water Quality","11431","3"
"6.91","Data: Water Quality","11436",""
"","Data: Water Quality","11436","1"
"","Data: Water Quality","11436","2"
"","Data: Water Quality","11436","3"
"6","Data: Water Quality","11441",""
"6.5","Data: Water Quality","11441","1"
"","Data: Water Quality","11441","2"
"","Data: Water Quality","11441","3"
"9.23","Data: Water Quality","11446",""
"","Data: Water Quality","11446","1"
"","Data: Water Quality","11446","2"
"","Data: Water Quality","11446","3"
"7.6","Data: Water Quality","11716",""
"","Data: Water Quality","11716","1"
"","Data: Water Quality","11716","2"
"","Data: Water Quality","11716","3"
"7","Data: Water Quality","11751",""
"7.1","Data: Water Quality","11751","1"
"7.2","Data: Water Quality","11751","2"
"7.4","Data: Water Quality","11751","3"
"7","Data: Water Quality","11766",""
"7","Data: Water Quality","11766","1"
"7","Data: Water Quality","11766","2"
"7","Data: Water Quality","11766","3"
"7","Data: Water Quality","11781",""
"6","Data: Water Quality","11781","1"
"7","Data: Water Quality","11781","2"
"7","Data: Water Quality","11781","3"
"7","Data: Water Quality","11801",""
"6","Data: Water Quality","11801","1"
"7","Data: Water Quality","11801","2"
"7","Data: Water Quality","11801","3"
"6.05","Data: Water Quality","11821",""
"5.88","Data: Water Quality","11821","1"
"","Data: Water Quality","11821","2"
"","Data: Water Quality","11821","3"
"6.38","Data: Water Quality","11826",""
"","Data: Water Quality","11826","1"
"","Data: Water Quality","11826","2"
"","Data: Water Quality","11826","3"
"7","Data: Water Quality","11866",""
"6.5","Data: Water Quality","11866","1"
"6","Data: Water Quality","11866","2"
"","Data: Water Quality","11866","3"
"7","Data: Water Quality","11876",""
"6.5","Data: Water Quality","11876","1"
"","Data: Water Quality","11876","2"
"","Data: Water Quality","11876","3"
"7","Data: Water Quality","11881",""
"6.5","Data: Water Quality","11881","1"
"6.5","Data: Water Quality","11881","2"
"6","Data: Water Quality","11881","3"
"6.5","Data: Water Quality","11896",""
"6.7","Data: Water Quality","11896","1"
"","Data: Water Quality","11896","2"
"","Data: Water Quality","11896","3"
"7","Data: Water Quality","11906",""
"6.5","Data: Water Quality","11906","1"
"","Data: Water Quality","11906","2"
"","Data: Water Quality","11906","3"
"","Data: Water Quality","11911",""
"","Data: Water Quality","11911","1"
"","Data: Water Quality","11911","2"
"","Data: Water Quality","11911","3"
"","Data: Water Quality","11921",""
"","Data: Water Quality","11921","1"
"","Data: Water Quality","11921","2"
"","Data: Water Quality","11921","3"
"","Data: Water Quality","11926",""
"","Data: Water Quality","11926","1"
"","Data: Water Quality","11926","2"
"","Data: Water Quality","11926","3"
"7.6","Data: Water Quality","11961",""
"","Data: Water Quality","11961","1"
"","Data: Water Quality","11961","2"
"","Data: Water Quality","11961","3"
"6.8","Data: Water Quality","11966",""
"","Data: Water Quality","11966","1"
"","Data: Water Quality","11966","2"
"","Data: Water Quality","11966","3"
"7","Data: Water Quality","12031",""
"","Data: Water Quality","12031","1"
"","Data: Water Quality","12031","2"
"","Data: Water Quality","12031","3"
"6.2","Data: Water Quality","12051",""
"6.9","Data: Water Quality","12051","1"
"","Data: Water Quality","12051","2"
"","Data: Water Quality","12051","3"
"6.12","Data: Water Quality","12121",""
"6.5","Data: Water Quality","12121","1"
"","Data: Water Quality","12121","2"
"","Data: Water Quality","12121","3"
"6.8","Data: Water Quality","12171",""
"","Data: Water Quality","12171","1"
"","Data: Water Quality","12171","2"
"","Data: Water Quality","12171","3"
"7","Data: Water Quality","12176",""
"","Data: Water Quality","12176","1"
"","Data: Water Quality","12176","2"
"","Data: Water Quality","12176","3"
"6.76","Data: Water Quality","12181",""
"","Data: Water Quality","12181","1"
"","Data: Water Quality","12181","2"
"","Data: Water Quality","12181","3"
"6.75","Data: Water Quality","12186",""
"","Data: Water Quality","12186","1"
"","Data: Water Quality","12186","2"
"","Data: Water Quality","12186","3"
"5.98","Data: Water Quality","12191",""
"","Data: Water Quality","12191","1"
"","Data: Water Quality","12191","2"
"","Data: Water Quality","12191","3"
"7.5","Data: Water Quality","12201",""
"","Data: Water Quality","12201","1"
"","Data: Water Quality","12201","2"
"","Data: Water Quality","12201","3"
"7.5","Data: Water Quality","12206",""
"","Data: Water Quality","12206","1"
"","Data: Water Quality","12206","2"
"","Data: Water Quality","12206","3"
"7","Data: Water Quality","12216",""
"","Data: Water Quality","12216","1"
"","Data: Water Quality","12216","2"
"","Data: Water Quality","12216","3"
"7","Data: Water Quality","12221",""
"","Data: Water Quality","12221","1"
"","Data: Water Quality","12221","2"
"","Data: Water Quality","12221","3"
"7","Data: Water Quality","12226",""
"","Data: Water Quality","12226","1"
"","Data: Water Quality","12226","2"
"","Data: Water Quality","12226","3"
"7","Data: Water Quality","12231",""
"","Data: Water Quality","12231","1"
"","Data: Water Quality","12231","2"
"","Data: Water Quality","12231","3"
"6.6","Data: Water Quality","12246",""
"7","Data: Water Quality","12246","1"
"","Data: Water Quality","12246","2"
"","Data: Water Quality","12246","3"
"6.6","Data: Water Quality","12251",""
"6.95","Data: Water Quality","12251","1"
"7.1","Data: Water Quality","12251","2"
"7.25","Data: Water Quality","12251","3"
"","Data: Water Quality","12256",""
"","Data: Water Quality","12256","1"
"","Data: Water Quality","12256","2"
"","Data: Water Quality","12256","3"
"7.4","Data: Water Quality","12261",""
"1.2","Data: Water Quality","12261","1"
"1.73","Data: Water Quality","12261","2"
"","Data: Water Quality","12261","3"
"6.12","Data: Water Quality","12291",""
"7.1","Data: Water Quality","12291","1"
"","Data: Water Quality","12291","2"
"","Data: Water Quality","12291","3"
"6.06","Data: Water Quality","12316",""
"6.9","Data: Water Quality","12316","1"
"","Data: Water Quality","12316","2"
"","Data: Water Quality","12316","3"
"7.2","Data: Water Quality","12376",""
"6.6","Data: Water Quality","12376","1"
"","Data: Water Quality","12376","2"
"","Data: Water Quality","12376","3"
"8.3","Data: Water Quality","12551",""
"","Data: Water Quality","12551","1"
"","Data: Water Quality","12551","2"
"","Data: Water Quality","12551","3"
"8.3","Data: Water Quality","12556",""
"","Data: Water Quality","12556","1"
"","Data: Water Quality","12556","2"
"","Data: Water Quality","12556","3"
"8.3","Data: Water Quality","12561",""
"","Data: Water Quality","12561","1"
"","Data: Water Quality","12561","2"
"","Data: Water Quality","12561","3"
"8.8","Data: Water Quality","12841",""
"9","Data: Water Quality","12841","1"
"7.5","Data: Water Quality","12841","2"
"7.7","Data: Water Quality","12841","3"
"","Data: Water Quality","12911",""
"","Data: Water Quality","12911","1"
"","Data: Water Quality","12911","2"
"","Data: Water Quality","12911","3"
"","Data: Water Quality","12916",""
"","Data: Water Quality","12916","1"
"","Data: Water Quality","12916","2"
"","Data: Water Quality","12916","3"
"7.5","Data: Water Quality","12931",""
"6.5","Data: Water Quality","12931","1"
"","Data: Water Quality","12931","2"
"","Data: Water Quality","12931","3"
"","Data: Water Quality","13266",""
"","Data: Water Quality","13266","1"
"","Data: Water Quality","13266","2"
"","Data: Water Quality","13266","3"
"","Data: Water Quality","13301",""
"","Data: Water Quality","13301","1"
"","Data: Water Quality","13301","2"
"","Data: Water Quality","13301","3"
"","Data: Water Quality","13496",""
"","Data: Water Quality","13496","1"
"","Data: Water Quality","13496","2"
"","Data: Water Quality","13496","3"
"","Data: Water Quality","13501",""
"","Data: Water Quality","13501","1"
"","Data: Water Quality","13501","2"
"","Data: Water Quality","13501","3"
"","Data: Water Quality","13506",""
"","Data: Water Quality","13506","1"
"","Data: Water Quality","13506","2"
"","Data: Water Quality","13506","3"
"","Data: Water Quality","13511",""
"","Data: Water Quality","13511","1"
"","Data: Water Quality","13511","2"
"","Data: Water Quality","13511","3"
"5","Data: Water Quality","13521",""
"4","Data: Water Quality","13521","1"
"","Data: Water Quality","13521","2"
"","Data: Water Quality","13521","3"
"5","Data: Water Quality","13551",""
"6","Data: Water Quality","13551","1"
"","Data: Water Quality","13551","2"
"","Data: Water Quality","13551","3"
"5","Data: Water Quality","13561",""
"6","Data: Water Quality","13561","1"
"","Data: Water Quality","13561","2"
"","Data: Water Quality","13561","3"
"5","Data: Water Quality","13566",""
"6","Data: Water Quality","13566","1"
"","Data: Water Quality","13566","2"
"","Data: Water Quality","13566","3"
"5","Data: Water Quality","13571",""
"6","Data: Water Quality","13571","1"
"","Data: Water Quality","13571","2"
"","Data: Water Quality","13571","3"
"","Data: Water Quality","13576",""
"","Data: Water Quality","13576","1"
"","Data: Water Quality","13576","2"
"","Data: Water Quality","13576","3"
"","Data: Water Quality","13581",""
"","Data: Water Quality","13581","1"
"","Data: Water Quality","13581","2"
"","Data: Water Quality","13581","3"
"","Data: Water Quality","30051",""
"","Data: Water Quality","30051","1"
"","Data: Water Quality","30051","2"
"","Data: Water Quality","30051","3"
"","Data: Water Quality","30056",""
"","Data: Water Quality","30056","1"
"","Data: Water Quality","30056","2"
"","Data: Water Quality","30056","3"
"","Data: Water Quality","30061",""
"","Data: Water Quality","30061","1"
"","Data: Water Quality","30061","2"
"","Data: Water Quality","30061","3"
"","Data: Water Quality","30066",""
"","Data: Water Quality","30066","1"
"","Data: Water Quality","30066","2"
"","Data: Water Quality","30066","3"
"","Data: Water Quality","30071",""
"","Data: Water Quality","30071","1"
"","Data: Water Quality","30071","2"
"","Data: Water Quality","30071","3"
"","Data: Water Quality","30076",""
"","Data: Water Quality","30076","1"
"","Data: Water Quality","30076","2"
"","Data: Water Quality","30076","3"
"6.5","Data: Water Quality","30981",""
"6.5","Data: Water Quality","30981","1"
"","Data: Water Quality","30981","2"
"","Data: Water Quality","30981","3"
