"Water Temperature","Type","Nid","Delta"
"44","Data: Water Quality","2731","1"
"44","Data: Water Quality","2731","2"
"44","Data: Water Quality","2731","3"
"44","Data: Water Quality","2735",""
"44","Data: Water Quality","2735","1"
"44","Data: Water Quality","2735","2"
"","Data: Water Quality","2735","3"
"44","Data: Water Quality","2737",""
"44","Data: Water Quality","2737","1"
"44","Data: Water Quality","2737","2"
"44","Data: Water Quality","2737","3"
"","Data: Water Quality","2742",""
"","Data: Water Quality","2742","1"
"","Data: Water Quality","2742","2"
"","Data: Water Quality","2742","3"
"52","Data: Water Quality","2748",""
"","Data: Water Quality","2748","1"
"","Data: Water Quality","2748","2"
"","Data: Water Quality","2748","3"
"47","Data: Water Quality","2749",""
"","Data: Water Quality","2749","1"
"","Data: Water Quality","2749","2"
"","Data: Water Quality","2749","3"
"58","Data: Water Quality","2750",""
"","Data: Water Quality","2750","1"
"","Data: Water Quality","2750","2"
"","Data: Water Quality","2750","3"
"44","Data: Water Quality","2751",""
"","Data: Water Quality","2751","1"
"","Data: Water Quality","2751","2"
"","Data: Water Quality","2751","3"
"40","Data: Water Quality","2757",""
"","Data: Water Quality","2757","1"
"","Data: Water Quality","2757","2"
"","Data: Water Quality","2757","3"
"48","Data: Water Quality","2758",""
"","Data: Water Quality","2758","1"
"","Data: Water Quality","2758","2"
"","Data: Water Quality","2758","3"
"52","Data: Water Quality","2759",""
"","Data: Water Quality","2759","1"
"","Data: Water Quality","2759","2"
"","Data: Water Quality","2759","3"
"58","Data: Water Quality","2760",""
"","Data: Water Quality","2760","1"
"","Data: Water Quality","2760","2"
"","Data: Water Quality","2760","3"
"46","Data: Water Quality","2761",""
"","Data: Water Quality","2761","1"
"","Data: Water Quality","2761","2"
"","Data: Water Quality","2761","3"
"48","Data: Water Quality","2769",""
"","Data: Water Quality","2769","1"
"","Data: Water Quality","2769","2"
"","Data: Water Quality","2769","3"
"40","Data: Water Quality","2770",""
"","Data: Water Quality","2770","1"
"","Data: Water Quality","2770","2"
"","Data: Water Quality","2770","3"
"48","Data: Water Quality","2771",""
"","Data: Water Quality","2771","1"
"","Data: Water Quality","2771","2"
"","Data: Water Quality","2771","3"
"41","Data: Water Quality","2783",""
"","Data: Water Quality","2783","1"
"","Data: Water Quality","2783","2"
"","Data: Water Quality","2783","3"
"39","Data: Water Quality","2784",""
"","Data: Water Quality","2784","1"
"","Data: Water Quality","2784","2"
"","Data: Water Quality","2784","3"
"40","Data: Water Quality","2785",""
"","Data: Water Quality","2785","1"
"","Data: Water Quality","2785","2"
"","Data: Water Quality","2785","3"
"53","Data: Water Quality","2791",""
"","Data: Water Quality","2791","1"
"","Data: Water Quality","2791","2"
"","Data: Water Quality","2791","3"
"40","Data: Water Quality","2794",""
"","Data: Water Quality","2794","1"
"","Data: Water Quality","2794","2"
"","Data: Water Quality","2794","3"
"50","Data: Water Quality","2795",""
"","Data: Water Quality","2795","1"
"","Data: Water Quality","2795","2"
"","Data: Water Quality","2795","3"
"40","Data: Water Quality","2796",""
"","Data: Water Quality","2796","1"
"","Data: Water Quality","2796","2"
"","Data: Water Quality","2796","3"
"54","Data: Water Quality","2818",""
"","Data: Water Quality","2818","1"
"","Data: Water Quality","2818","2"
"","Data: Water Quality","2818","3"
"50","Data: Water Quality","2819",""
"","Data: Water Quality","2819","1"
"","Data: Water Quality","2819","2"
"","Data: Water Quality","2819","3"
"55","Data: Water Quality","2820",""
"","Data: Water Quality","2820","1"
"","Data: Water Quality","2820","2"
"","Data: Water Quality","2820","3"
"40","Data: Water Quality","2821",""
"","Data: Water Quality","2821","1"
"","Data: Water Quality","2821","2"
"","Data: Water Quality","2821","3"
"8.2","Data: Water Quality","2871",""
"7.5","Data: Water Quality","2871","1"
"","Data: Water Quality","2871","2"
"","Data: Water Quality","2871","3"
"6","Data: Water Quality","2880",""
"","Data: Water Quality","2880","1"
"","Data: Water Quality","2880","2"
"","Data: Water Quality","2880","3"
"33","Data: Water Quality","2882",""
"","Data: Water Quality","2882","1"
"","Data: Water Quality","2882","2"
"","Data: Water Quality","2882","3"
"38","Data: Water Quality","2896",""
"40","Data: Water Quality","2896","1"
"","Data: Water Quality","2896","2"
"","Data: Water Quality","2896","3"
"10","Data: Water Quality","2908",""
"10","Data: Water Quality","2908","1"
"11","Data: Water Quality","2908","2"
"","Data: Water Quality","2908","3"
"42","Data: Water Quality","2909",""
"","Data: Water Quality","2909","1"
"","Data: Water Quality","2909","2"
"","Data: Water Quality","2909","3"
"44","Data: Water Quality","2925",""
"42","Data: Water Quality","2925","1"
"42","Data: Water Quality","2925","2"
"47","Data: Water Quality","2925","3"
"52","Data: Water Quality","2935",""
"","Data: Water Quality","2935","1"
"","Data: Water Quality","2935","2"
"","Data: Water Quality","2935","3"
"52","Data: Water Quality","2939",""
"","Data: Water Quality","2939","1"
"","Data: Water Quality","2939","2"
"","Data: Water Quality","2939","3"
"50","Data: Water Quality","2940",""
"","Data: Water Quality","2940","1"
"","Data: Water Quality","2940","2"
"","Data: Water Quality","2940","3"
"40","Data: Water Quality","2944",""
"","Data: Water Quality","2944","1"
"","Data: Water Quality","2944","2"
"","Data: Water Quality","2944","3"
"45","Data: Water Quality","2945",""
"","Data: Water Quality","2945","1"
"","Data: Water Quality","2945","2"
"","Data: Water Quality","2945","3"
"56","Data: Water Quality","2957",""
"54","Data: Water Quality","2957","1"
"55","Data: Water Quality","2957","2"
"","Data: Water Quality","2957","3"
"56","Data: Water Quality","2959",""
"54","Data: Water Quality","2959","1"
"55","Data: Water Quality","2959","2"
"","Data: Water Quality","2959","3"
"40","Data: Water Quality","2960",""
"","Data: Water Quality","2960","1"
"","Data: Water Quality","2960","2"
"","Data: Water Quality","2960","3"
"50","Data: Water Quality","2961",""
"","Data: Water Quality","2961","1"
"","Data: Water Quality","2961","2"
"","Data: Water Quality","2961","3"
"42","Data: Water Quality","2962",""
"","Data: Water Quality","2962","1"
"","Data: Water Quality","2962","2"
"","Data: Water Quality","2962","3"
"46","Data: Water Quality","2963",""
"","Data: Water Quality","2963","1"
"","Data: Water Quality","2963","2"
"","Data: Water Quality","2963","3"
"51","Data: Water Quality","2965",""
"","Data: Water Quality","2965","1"
"","Data: Water Quality","2965","2"
"","Data: Water Quality","2965","3"
"51","Data: Water Quality","2966",""
"","Data: Water Quality","2966","1"
"","Data: Water Quality","2966","2"
"","Data: Water Quality","2966","3"
"45","Data: Water Quality","2967",""
"","Data: Water Quality","2967","1"
"","Data: Water Quality","2967","2"
"","Data: Water Quality","2967","3"
"56","Data: Water Quality","2970",""
"54","Data: Water Quality","2970","1"
"55","Data: Water Quality","2970","2"
"","Data: Water Quality","2970","3"
"50","Data: Water Quality","2979",""
"","Data: Water Quality","2979","1"
"","Data: Water Quality","2979","2"
"","Data: Water Quality","2979","3"
"43","Data: Water Quality","2981",""
"","Data: Water Quality","2981","1"
"","Data: Water Quality","2981","2"
"","Data: Water Quality","2981","3"
"45","Data: Water Quality","2990",""
"","Data: Water Quality","2990","1"
"","Data: Water Quality","2990","2"
"","Data: Water Quality","2990","3"
"50","Data: Water Quality","2991",""
"","Data: Water Quality","2991","1"
"","Data: Water Quality","2991","2"
"","Data: Water Quality","2991","3"
