"Water Temperature","Type","Nid","Delta"
"37","Data: Water Quality","4691",""
"37.6","Data: Water Quality","4691","1"
"38.8","Data: Water Quality","4691","2"
"39","Data: Water Quality","4691","3"
"9.2","Data: Water Quality","4784",""
"9.2","Data: Water Quality","4784","1"
"9.2","Data: Water Quality","4784","2"
"","Data: Water Quality","4784","3"
"8","Data: Water Quality","4788",""
"6","Data: Water Quality","4788","1"
"6","Data: Water Quality","4788","2"
"5","Data: Water Quality","4788","3"
"8","Data: Water Quality","4789",""
"6","Data: Water Quality","4789","1"
"6","Data: Water Quality","4789","2"
"5","Data: Water Quality","4789","3"
"","Data: Water Quality","4791",""
"","Data: Water Quality","4791","1"
"","Data: Water Quality","4791","2"
"","Data: Water Quality","4791","3"
"53.4","Data: Water Quality","4792",""
"53.4","Data: Water Quality","4792","1"
"53.4","Data: Water Quality","4792","2"
"53.4","Data: Water Quality","4792","3"
"9.7","Data: Water Quality","4803",""
"10.1","Data: Water Quality","4803","1"
"","Data: Water Quality","4803","2"
"","Data: Water Quality","4803","3"
"48","Data: Water Quality","4806",""
"48","Data: Water Quality","4806","1"
"","Data: Water Quality","4806","2"
"","Data: Water Quality","4806","3"
"52.6","Data: Water Quality","4858",""
"","Data: Water Quality","4858","1"
"","Data: Water Quality","4858","2"
"","Data: Water Quality","4858","3"
"44","Data: Water Quality","4860",""
"44.5","Data: Water Quality","4860","1"
"45.7","Data: Water Quality","4860","2"
"45.7","Data: Water Quality","4860","3"
"50","Data: Water Quality","4952",""
"50","Data: Water Quality","4952","1"
"50","Data: Water Quality","4952","2"
"50","Data: Water Quality","4952","3"
"37","Data: Water Quality","4992",""
"37.6","Data: Water Quality","4992","1"
"39.7","Data: Water Quality","4992","2"
"38.5","Data: Water Quality","4992","3"
"52.8","Data: Water Quality","4994",""
"53","Data: Water Quality","4994","1"
"52.7","Data: Water Quality","4994","2"
"53.1","Data: Water Quality","4994","3"
"","Data: Water Quality","5001",""
"","Data: Water Quality","5001","1"
"","Data: Water Quality","5001","2"
"","Data: Water Quality","5001","3"
"9.9","Data: Water Quality","5002",""
"10.1","Data: Water Quality","5002","1"
"9.7","Data: Water Quality","5002","2"
"9.8","Data: Water Quality","5002","3"
"39.7","Data: Water Quality","5003",""
"40.5","Data: Water Quality","5003","1"
"41.9","Data: Water Quality","5003","2"
"42.1","Data: Water Quality","5003","3"
"8","Data: Water Quality","5023",""
"5","Data: Water Quality","5023","1"
"","Data: Water Quality","5023","2"
"","Data: Water Quality","5023","3"
"10","Data: Water Quality","5026",""
"8","Data: Water Quality","5026","1"
"10","Data: Water Quality","5026","2"
"","Data: Water Quality","5026","3"
"10","Data: Water Quality","5057",""
"","Data: Water Quality","5057","1"
"","Data: Water Quality","5057","2"
"","Data: Water Quality","5057","3"
"7.5","Data: Water Quality","5058",""
"","Data: Water Quality","5058","1"
"","Data: Water Quality","5058","2"
"","Data: Water Quality","5058","3"
"10","Data: Water Quality","5060",""
"10","Data: Water Quality","5060","1"
"","Data: Water Quality","5060","2"
"","Data: Water Quality","5060","3"
"9","Data: Water Quality","5064",""
"9","Data: Water Quality","5064","1"
"","Data: Water Quality","5064","2"
"","Data: Water Quality","5064","3"
"57","Data: Water Quality","5261",""
"","Data: Water Quality","5261","1"
"","Data: Water Quality","5261","2"
"","Data: Water Quality","5261","3"
"4","Data: Water Quality","5317",""
"","Data: Water Quality","5317","1"
"","Data: Water Quality","5317","2"
"","Data: Water Quality","5317","3"
"6","Data: Water Quality","5318",""
"","Data: Water Quality","5318","1"
"","Data: Water Quality","5318","2"
"","Data: Water Quality","5318","3"
"5","Data: Water Quality","5320",""
"","Data: Water Quality","5320","1"
"","Data: Water Quality","5320","2"
"","Data: Water Quality","5320","3"
"1","Data: Water Quality","5325",""
"","Data: Water Quality","5325","1"
"","Data: Water Quality","5325","2"
"","Data: Water Quality","5325","3"
"22","Data: Water Quality","5354",""
"","Data: Water Quality","5354","1"
"","Data: Water Quality","5354","2"
"","Data: Water Quality","5354","3"
"15.5","Data: Water Quality","5358",""
"","Data: Water Quality","5358","1"
"","Data: Water Quality","5358","2"
"","Data: Water Quality","5358","3"
"13.4","Data: Water Quality","5359",""
"","Data: Water Quality","5359","1"
"","Data: Water Quality","5359","2"
"","Data: Water Quality","5359","3"
"","Data: Water Quality","5360",""
"","Data: Water Quality","5360","1"
"","Data: Water Quality","5360","2"
"","Data: Water Quality","5360","3"
"8","Data: Water Quality","5363",""
"8.1","Data: Water Quality","5363","1"
"","Data: Water Quality","5363","2"
"","Data: Water Quality","5363","3"
"7","Data: Water Quality","5365",""
"","Data: Water Quality","5365","1"
"","Data: Water Quality","5365","2"
"","Data: Water Quality","5365","3"
"5","Data: Water Quality","5381",""
"","Data: Water Quality","5381","1"
"","Data: Water Quality","5381","2"
"","Data: Water Quality","5381","3"
"10","Data: Water Quality","5384",""
"9.8","Data: Water Quality","5384","1"
"","Data: Water Quality","5384","2"
"","Data: Water Quality","5384","3"
"38.5","Data: Water Quality","5388",""
"38.8","Data: Water Quality","5388","1"
"37.6","Data: Water Quality","5388","2"
"37.8","Data: Water Quality","5388","3"
"","Data: Water Quality","5395",""
"","Data: Water Quality","5395","1"
"","Data: Water Quality","5395","2"
"","Data: Water Quality","5395","3"
"5","Data: Water Quality","5404",""
"","Data: Water Quality","5404","1"
"","Data: Water Quality","5404","2"
"","Data: Water Quality","5404","3"
"5","Data: Water Quality","5408",""
"","Data: Water Quality","5408","1"
"","Data: Water Quality","5408","2"
"","Data: Water Quality","5408","3"
"45","Data: Water Quality","5447",""
"","Data: Water Quality","5447","1"
"","Data: Water Quality","5447","2"
"","Data: Water Quality","5447","3"
"16","Data: Water Quality","5553",""
"18","Data: Water Quality","5553","1"
"18","Data: Water Quality","5553","2"
"","Data: Water Quality","5553","3"
"20","Data: Water Quality","5554",""
"22","Data: Water Quality","5554","1"
"20","Data: Water Quality","5554","2"
"","Data: Water Quality","5554","3"
"67","Data: Water Quality","5564",""
"63","Data: Water Quality","5564","1"
"61","Data: Water Quality","5564","2"
"","Data: Water Quality","5564","3"
"70","Data: Water Quality","5592",""
"62","Data: Water Quality","5592","1"
"68","Data: Water Quality","5592","2"
"64","Data: Water Quality","5592","3"
"42","Data: Water Quality","5603",""
"","Data: Water Quality","5603","1"
"","Data: Water Quality","5603","2"
"","Data: Water Quality","5603","3"
"42","Data: Water Quality","5611",""
"","Data: Water Quality","5611","1"
"","Data: Water Quality","5611","2"
"","Data: Water Quality","5611","3"
"44","Data: Water Quality","5617",""
"","Data: Water Quality","5617","1"
"","Data: Water Quality","5617","2"
"","Data: Water Quality","5617","3"
"45","Data: Water Quality","5622",""
"","Data: Water Quality","5622","1"
"","Data: Water Quality","5622","2"
"","Data: Water Quality","5622","3"
"49","Data: Water Quality","5629",""
"","Data: Water Quality","5629","1"
"","Data: Water Quality","5629","2"
"","Data: Water Quality","5629","3"
"48.9","Data: Water Quality","5794",""
"47","Data: Water Quality","5794","1"
"","Data: Water Quality","5794","2"
"","Data: Water Quality","5794","3"
"42","Data: Water Quality","5842",""
"43","Data: Water Quality","5842","1"
"48","Data: Water Quality","5842","2"
"50","Data: Water Quality","5842","3"
"9.7","Data: Water Quality","5886",""
"10","Data: Water Quality","5886","1"
"10.7","Data: Water Quality","5886","2"
"","Data: Water Quality","5886","3"
"9.7","Data: Water Quality","5887",""
"","Data: Water Quality","5887","1"
"","Data: Water Quality","5887","2"
"","Data: Water Quality","5887","3"
"52","Data: Water Quality","5899",""
"55","Data: Water Quality","5899","1"
"52","Data: Water Quality","5899","2"
"52","Data: Water Quality","5899","3"
"46.4","Data: Water Quality","5915",""
"46.4","Data: Water Quality","5915","1"
"46.3","Data: Water Quality","5915","2"
"46.4","Data: Water Quality","5915","3"
"55.6","Data: Water Quality","5916",""
"54.2","Data: Water Quality","5916","1"
"53.7","Data: Water Quality","5916","2"
"55.7","Data: Water Quality","5916","3"
"57.1","Data: Water Quality","5917",""
"50.7","Data: Water Quality","5917","1"
"53.1","Data: Water Quality","5917","2"
"58","Data: Water Quality","5917","3"
"9.7","Data: Water Quality","5919",""
"10","Data: Water Quality","5919","1"
"10.7","Data: Water Quality","5919","2"
"","Data: Water Quality","5919","3"
"65","Data: Water Quality","5922",""
"64","Data: Water Quality","5922","1"
"63","Data: Water Quality","5922","2"
"","Data: Water Quality","5922","3"
"56","Data: Water Quality","5931",""
"44","Data: Water Quality","5931","1"
"56","Data: Water Quality","5931","2"
"578","Data: Water Quality","5931","3"
"50","Data: Water Quality","5942",""
"","Data: Water Quality","5942","1"
"","Data: Water Quality","5942","2"
"","Data: Water Quality","5942","3"
"55","Data: Water Quality","5944",""
"51","Data: Water Quality","5944","1"
"","Data: Water Quality","5944","2"
"","Data: Water Quality","5944","3"
"52","Data: Water Quality","5948",""
"","Data: Water Quality","5948","1"
"","Data: Water Quality","5948","2"
"","Data: Water Quality","5948","3"
"51","Data: Water Quality","5951",""
"","Data: Water Quality","5951","1"
"","Data: Water Quality","5951","2"
"","Data: Water Quality","5951","3"
"56","Data: Water Quality","5955",""
"","Data: Water Quality","5955","1"
"","Data: Water Quality","5955","2"
"","Data: Water Quality","5955","3"
"53","Data: Water Quality","5958",""
"51","Data: Water Quality","5958","1"
"","Data: Water Quality","5958","2"
"","Data: Water Quality","5958","3"
"55","Data: Water Quality","5961",""
"","Data: Water Quality","5961","1"
"","Data: Water Quality","5961","2"
"","Data: Water Quality","5961","3"
"20","Data: Water Quality","6014",""
"","Data: Water Quality","6014","1"
"","Data: Water Quality","6014","2"
"","Data: Water Quality","6014","3"
"20","Data: Water Quality","6026",""
"","Data: Water Quality","6026","1"
"","Data: Water Quality","6026","2"
"","Data: Water Quality","6026","3"
"10.5","Data: Water Quality","6041",""
"","Data: Water Quality","6041","1"
"","Data: Water Quality","6041","2"
"","Data: Water Quality","6041","3"
"10.6","Data: Water Quality","6044",""
"","Data: Water Quality","6044","1"
"","Data: Water Quality","6044","2"
"","Data: Water Quality","6044","3"
"","Data: Water Quality","6045",""
"","Data: Water Quality","6045","1"
"","Data: Water Quality","6045","2"
"","Data: Water Quality","6045","3"
"10.6","Data: Water Quality","6048",""
"","Data: Water Quality","6048","1"
"","Data: Water Quality","6048","2"
"","Data: Water Quality","6048","3"
"","Data: Water Quality","6050",""
"","Data: Water Quality","6050","1"
"","Data: Water Quality","6050","2"
"","Data: Water Quality","6050","3"
"11.3","Data: Water Quality","6052",""
"","Data: Water Quality","6052","1"
"","Data: Water Quality","6052","2"
"","Data: Water Quality","6052","3"
"11.3","Data: Water Quality","6054",""
"","Data: Water Quality","6054","1"
"","Data: Water Quality","6054","2"
"","Data: Water Quality","6054","3"
"17.72","Data: Water Quality","6056",""
"","Data: Water Quality","6056","1"
"","Data: Water Quality","6056","2"
"","Data: Water Quality","6056","3"
"14.1","Data: Water Quality","6065",""
"14.2","Data: Water Quality","6065","1"
"12.5","Data: Water Quality","6065","2"
"12.5","Data: Water Quality","6065","3"
"14.4","Data: Water Quality","6066",""
"14.6","Data: Water Quality","6066","1"
"15.2","Data: Water Quality","6066","2"
"14.6","Data: Water Quality","6066","3"
"14.6","Data: Water Quality","6068",""
"15.2","Data: Water Quality","6068","1"
"16.4","Data: Water Quality","6068","2"
"16.9","Data: Water Quality","6068","3"
"14.4","Data: Water Quality","6069",""
"14.6","Data: Water Quality","6069","1"
"15.2","Data: Water Quality","6069","2"
"14.6","Data: Water Quality","6069","3"
"14.5","Data: Water Quality","6070",""
"14.6","Data: Water Quality","6070","1"
"12.8","Data: Water Quality","6070","2"
"12.9","Data: Water Quality","6070","3"
"13.9","Data: Water Quality","6072",""
"14.1","Data: Water Quality","6072","1"
"15.6","Data: Water Quality","6072","2"
"15.8","Data: Water Quality","6072","3"
"62","Data: Water Quality","6090",""
"63","Data: Water Quality","6090","1"
"","Data: Water Quality","6090","2"
"","Data: Water Quality","6090","3"
"60","Data: Water Quality","6091",""
"62","Data: Water Quality","6091","1"
"61","Data: Water Quality","6091","2"
"","Data: Water Quality","6091","3"
"45","Data: Water Quality","6093",""
"46","Data: Water Quality","6093","1"
"43","Data: Water Quality","6093","2"
"45","Data: Water Quality","6093","3"
"80","Data: Water Quality","6094",""
"73","Data: Water Quality","6094","1"
"","Data: Water Quality","6094","2"
"","Data: Water Quality","6094","3"
"","Data: Water Quality","6095",""
"","Data: Water Quality","6095","1"
"","Data: Water Quality","6095","2"
"","Data: Water Quality","6095","3"
"11.1","Data: Water Quality","6097",""
"10.9","Data: Water Quality","6097","1"
"","Data: Water Quality","6097","2"
"10.1","Data: Water Quality","6097","3"
"56","Data: Water Quality","6140",""
"59","Data: Water Quality","6140","1"
"","Data: Water Quality","6140","2"
"","Data: Water Quality","6140","3"
"56","Data: Water Quality","6155",""
"59","Data: Water Quality","6155","1"
"","Data: Water Quality","6155","2"
"","Data: Water Quality","6155","3"
"62","Data: Water Quality","6162",""
"64","Data: Water Quality","6162","1"
"","Data: Water Quality","6162","2"
"","Data: Water Quality","6162","3"
"62","Data: Water Quality","6163",""
"64","Data: Water Quality","6163","1"
"","Data: Water Quality","6163","2"
"","Data: Water Quality","6163","3"
"62","Data: Water Quality","6164",""
"63","Data: Water Quality","6164","1"
"61","Data: Water Quality","6164","2"
"55","Data: Water Quality","6164","3"
"70","Data: Water Quality","6165",""
"75","Data: Water Quality","6165","1"
"","Data: Water Quality","6165","2"
"","Data: Water Quality","6165","3"
"","Data: Water Quality","6198",""
"","Data: Water Quality","6198","1"
"","Data: Water Quality","6198","2"
"","Data: Water Quality","6198","3"
"62.3","Data: Water Quality","6211",""
"60.8","Data: Water Quality","6211","1"
"62","Data: Water Quality","6211","2"
"58","Data: Water Quality","6211","3"
"60","Data: Water Quality","6218",""
"56","Data: Water Quality","6218","1"
"54","Data: Water Quality","6218","2"
"","Data: Water Quality","6218","3"
"66","Data: Water Quality","6225",""
"","Data: Water Quality","6225","1"
"","Data: Water Quality","6225","2"
"","Data: Water Quality","6225","3"
"54","Data: Water Quality","6237",""
"52","Data: Water Quality","6237","1"
"51","Data: Water Quality","6237","2"
"52","Data: Water Quality","6237","3"
"52","Data: Water Quality","6238",""
"54","Data: Water Quality","6238","1"
"","Data: Water Quality","6238","2"
"","Data: Water Quality","6238","3"
"51","Data: Water Quality","6239",""
"53","Data: Water Quality","6239","1"
"","Data: Water Quality","6239","2"
"","Data: Water Quality","6239","3"
"53","Data: Water Quality","6240",""
"55","Data: Water Quality","6240","1"
"53","Data: Water Quality","6240","2"
"52","Data: Water Quality","6240","3"
"55","Data: Water Quality","6241",""
"51","Data: Water Quality","6241","1"
"56","Data: Water Quality","6241","2"
"54","Data: Water Quality","6241","3"
"53","Data: Water Quality","6242",""
"55","Data: Water Quality","6242","1"
"53","Data: Water Quality","6242","2"
"52","Data: Water Quality","6242","3"
"50","Data: Water Quality","6243",""
"53","Data: Water Quality","6243","1"
"55","Data: Water Quality","6243","2"
"57","Data: Water Quality","6243","3"
"70","Data: Water Quality","6244",""
"50","Data: Water Quality","6244","1"
"55","Data: Water Quality","6244","2"
"62","Data: Water Quality","6244","3"
"52","Data: Water Quality","6245",""
"57","Data: Water Quality","6245","1"
"55","Data: Water Quality","6245","2"
"54","Data: Water Quality","6245","3"
"55","Data: Water Quality","6246",""
"54","Data: Water Quality","6246","1"
"55","Data: Water Quality","6246","2"
"54","Data: Water Quality","6246","3"
"55","Data: Water Quality","6247",""
"53","Data: Water Quality","6247","1"
"","Data: Water Quality","6247","2"
"","Data: Water Quality","6247","3"
"55","Data: Water Quality","6248",""
"53","Data: Water Quality","6248","1"
"52","Data: Water Quality","6248","2"
"","Data: Water Quality","6248","3"
"53","Data: Water Quality","6249",""
"55","Data: Water Quality","6249","1"
"55","Data: Water Quality","6249","2"
"55","Data: Water Quality","6249","3"
"60","Data: Water Quality","6250",""
"60","Data: Water Quality","6250","1"
"65","Data: Water Quality","6250","2"
"70","Data: Water Quality","6250","3"
"60","Data: Water Quality","6251",""
"","Data: Water Quality","6251","1"
"","Data: Water Quality","6251","2"
"","Data: Water Quality","6251","3"
"60","Data: Water Quality","6252",""
"","Data: Water Quality","6252","1"
"","Data: Water Quality","6252","2"
"","Data: Water Quality","6252","3"
"62","Data: Water Quality","6253",""
"64","Data: Water Quality","6253","1"
"63","Data: Water Quality","6253","2"
"","Data: Water Quality","6253","3"
"60","Data: Water Quality","6254",""
"60","Data: Water Quality","6254","1"
"","Data: Water Quality","6254","2"
"","Data: Water Quality","6254","3"
"59","Data: Water Quality","6255",""
"61","Data: Water Quality","6255","1"
"60","Data: Water Quality","6255","2"
"62","Data: Water Quality","6255","3"
"60","Data: Water Quality","6256",""
"59","Data: Water Quality","6256","1"
"68","Data: Water Quality","6256","2"
"","Data: Water Quality","6256","3"
"58","Data: Water Quality","6257",""
"61","Data: Water Quality","6257","1"
"60","Data: Water Quality","6257","2"
"60","Data: Water Quality","6257","3"
"61","Data: Water Quality","6258",""
"62","Data: Water Quality","6258","1"
"60","Data: Water Quality","6258","2"
"55","Data: Water Quality","6258","3"
"63","Data: Water Quality","6259",""
"62","Data: Water Quality","6259","1"
"66","Data: Water Quality","6259","2"
"59","Data: Water Quality","6259","3"
"61","Data: Water Quality","6260",""
"62","Data: Water Quality","6260","1"
"","Data: Water Quality","6260","2"
"","Data: Water Quality","6260","3"
"17.5","Data: Water Quality","6261",""
"16","Data: Water Quality","6261","1"
"17.5","Data: Water Quality","6261","2"
"16","Data: Water Quality","6261","3"
"60","Data: Water Quality","6262",""
"65","Data: Water Quality","6262","1"
"67","Data: Water Quality","6262","2"
"67","Data: Water Quality","6262","3"
"20","Data: Water Quality","6263",""
"17","Data: Water Quality","6263","1"
"17","Data: Water Quality","6263","2"
"18","Data: Water Quality","6263","3"
"68","Data: Water Quality","6264",""
"68","Data: Water Quality","6264","1"
"68","Data: Water Quality","6264","2"
"68","Data: Water Quality","6264","3"
"63","Data: Water Quality","6265",""
"","Data: Water Quality","6265","1"
"","Data: Water Quality","6265","2"
"","Data: Water Quality","6265","3"
"20","Data: Water Quality","6266",""
"28","Data: Water Quality","6266","1"
"16","Data: Water Quality","6266","2"
"12","Data: Water Quality","6266","3"
"20","Data: Water Quality","6267",""
"18","Data: Water Quality","6267","1"
"19","Data: Water Quality","6267","2"
"19","Data: Water Quality","6267","3"
"65","Data: Water Quality","6268",""
"","Data: Water Quality","6268","1"
"","Data: Water Quality","6268","2"
"","Data: Water Quality","6268","3"
"63","Data: Water Quality","6269",""
"60","Data: Water Quality","6269","1"
"65","Data: Water Quality","6269","2"
"64","Data: Water Quality","6269","3"
"18","Data: Water Quality","6270",""
"20","Data: Water Quality","6270","1"
"","Data: Water Quality","6270","2"
"","Data: Water Quality","6270","3"
"58","Data: Water Quality","6271",""
"56","Data: Water Quality","6271","1"
"","Data: Water Quality","6271","2"
"","Data: Water Quality","6271","3"
"56","Data: Water Quality","6272",""
"","Data: Water Quality","6272","1"
"","Data: Water Quality","6272","2"
"","Data: Water Quality","6272","3"
"15","Data: Water Quality","6273",""
"17","Data: Water Quality","6273","1"
"15","Data: Water Quality","6273","2"
"15","Data: Water Quality","6273","3"
"15","Data: Water Quality","6274",""
"14","Data: Water Quality","6274","1"
"17","Data: Water Quality","6274","2"
"12","Data: Water Quality","6274","3"
"59","Data: Water Quality","6275",""
"64","Data: Water Quality","6275","1"
"","Data: Water Quality","6275","2"
"","Data: Water Quality","6275","3"
"64","Data: Water Quality","6276",""
"63","Data: Water Quality","6276","1"
"64","Data: Water Quality","6276","2"
"","Data: Water Quality","6276","3"
"59","Data: Water Quality","6277",""
"58","Data: Water Quality","6277","1"
"","Data: Water Quality","6277","2"
"","Data: Water Quality","6277","3"
"51","Data: Water Quality","6278",""
"","Data: Water Quality","6278","1"
"","Data: Water Quality","6278","2"
"","Data: Water Quality","6278","3"
"55","Data: Water Quality","6279",""
"48","Data: Water Quality","6279","1"
"","Data: Water Quality","6279","2"
"","Data: Water Quality","6279","3"
"57","Data: Water Quality","6280",""
"48","Data: Water Quality","6280","1"
"54","Data: Water Quality","6280","2"
"","Data: Water Quality","6280","3"
"55","Data: Water Quality","6281",""
"55","Data: Water Quality","6281","1"
"56","Data: Water Quality","6281","2"
"57","Data: Water Quality","6281","3"
"14.9","Data: Water Quality","6344",""
"14.9","Data: Water Quality","6344","1"
"14.9","Data: Water Quality","6344","2"
"","Data: Water Quality","6344","3"
"19","Data: Water Quality","6367",""
"","Data: Water Quality","6367","1"
"","Data: Water Quality","6367","2"
"","Data: Water Quality","6367","3"
"14","Data: Water Quality","6370",""
"","Data: Water Quality","6370","1"
"","Data: Water Quality","6370","2"
"","Data: Water Quality","6370","3"
"15","Data: Water Quality","6371",""
"","Data: Water Quality","6371","1"
"","Data: Water Quality","6371","2"
"","Data: Water Quality","6371","3"
"14","Data: Water Quality","6373",""
"","Data: Water Quality","6373","1"
"","Data: Water Quality","6373","2"
"","Data: Water Quality","6373","3"
"5.6","Data: Water Quality","6376",""
"6.2","Data: Water Quality","6376","1"
"6","Data: Water Quality","6376","2"
"5.5","Data: Water Quality","6376","3"
"40.6","Data: Water Quality","6377",""
"42.3","Data: Water Quality","6377","1"
"41.8","Data: Water Quality","6377","2"
"40.6","Data: Water Quality","6377","3"
"16.2","Data: Water Quality","6382",""
"","Data: Water Quality","6382","1"
"","Data: Water Quality","6382","2"
"","Data: Water Quality","6382","3"
"8.4","Data: Water Quality","6387",""
"","Data: Water Quality","6387","1"
"","Data: Water Quality","6387","2"
"","Data: Water Quality","6387","3"
"9","Data: Water Quality","6390",""
"10","Data: Water Quality","6390","1"
"","Data: Water Quality","6390","2"
"","Data: Water Quality","6390","3"
"12","Data: Water Quality","6394",""
"11","Data: Water Quality","6394","1"
"","Data: Water Quality","6394","2"
"","Data: Water Quality","6394","3"
"10","Data: Water Quality","6406",""
"","Data: Water Quality","6406","1"
"","Data: Water Quality","6406","2"
"","Data: Water Quality","6406","3"
"18","Data: Water Quality","6409",""
"18","Data: Water Quality","6409","1"
"9.6","Data: Water Quality","6409","2"
"","Data: Water Quality","6409","3"
"3.4","Data: Water Quality","6412",""
"4.1","Data: Water Quality","6412","1"
"4.2","Data: Water Quality","6412","2"
"6.3","Data: Water Quality","6412","3"
"14","Data: Water Quality","6415",""
"","Data: Water Quality","6415","1"
"","Data: Water Quality","6415","2"
"","Data: Water Quality","6415","3"
"7","Data: Water Quality","6429",""
"","Data: Water Quality","6429","1"
"","Data: Water Quality","6429","2"
"","Data: Water Quality","6429","3"
"9","Data: Water Quality","6431",""
"","Data: Water Quality","6431","1"
"","Data: Water Quality","6431","2"
"","Data: Water Quality","6431","3"
"9","Data: Water Quality","6432",""
"","Data: Water Quality","6432","1"
"","Data: Water Quality","6432","2"
"","Data: Water Quality","6432","3"
"12","Data: Water Quality","6433",""
"","Data: Water Quality","6433","1"
"","Data: Water Quality","6433","2"
"","Data: Water Quality","6433","3"
"15","Data: Water Quality","6434",""
"","Data: Water Quality","6434","1"
"","Data: Water Quality","6434","2"
"","Data: Water Quality","6434","3"
"9","Data: Water Quality","6435",""
"","Data: Water Quality","6435","1"
"","Data: Water Quality","6435","2"
"","Data: Water Quality","6435","3"
"13","Data: Water Quality","6444",""
"","Data: Water Quality","6444","1"
"","Data: Water Quality","6444","2"
"","Data: Water Quality","6444","3"
"62","Data: Water Quality","6445",""
"64","Data: Water Quality","6445","1"
"66","Data: Water Quality","6445","2"
"64","Data: Water Quality","6445","3"
"61","Data: Water Quality","6446",""
"62","Data: Water Quality","6446","1"
"","Data: Water Quality","6446","2"
"","Data: Water Quality","6446","3"
"62","Data: Water Quality","6447",""
"61","Data: Water Quality","6447","1"
"63","Data: Water Quality","6447","2"
"64","Data: Water Quality","6447","3"
"62","Data: Water Quality","6448",""
"63","Data: Water Quality","6448","1"
"64","Data: Water Quality","6448","2"
"60","Data: Water Quality","6448","3"
"61","Data: Water Quality","6450",""
"67","Data: Water Quality","6450","1"
"65","Data: Water Quality","6450","2"
"70","Data: Water Quality","6450","3"
"62","Data: Water Quality","6451",""
"61","Data: Water Quality","6451","1"
"63","Data: Water Quality","6451","2"
"64","Data: Water Quality","6451","3"
"61","Data: Water Quality","6453",""
"62","Data: Water Quality","6453","1"
"","Data: Water Quality","6453","2"
"","Data: Water Quality","6453","3"
"61","Data: Water Quality","6454",""
"62","Data: Water Quality","6454","1"
"","Data: Water Quality","6454","2"
"","Data: Water Quality","6454","3"
"64","Data: Water Quality","6455",""
"66","Data: Water Quality","6455","1"
"24","Data: Water Quality","6455","2"
"63","Data: Water Quality","6455","3"
"61","Data: Water Quality","6461",""
"67","Data: Water Quality","6461","1"
"65","Data: Water Quality","6461","2"
"70","Data: Water Quality","6461","3"
"64","Data: Water Quality","6462",""
"66","Data: Water Quality","6462","1"
"24","Data: Water Quality","6462","2"
"63","Data: Water Quality","6462","3"
"60","Data: Water Quality","6463",""
"64","Data: Water Quality","6463","1"
"60","Data: Water Quality","6463","2"
"61","Data: Water Quality","6463","3"
"62","Data: Water Quality","6464",""
"63","Data: Water Quality","6464","1"
"64","Data: Water Quality","6464","2"
"60","Data: Water Quality","6464","3"
"61","Data: Water Quality","6465",""
"62","Data: Water Quality","6465","1"
"63","Data: Water Quality","6465","2"
"","Data: Water Quality","6465","3"
"62","Data: Water Quality","6469",""
"64","Data: Water Quality","6469","1"
"66","Data: Water Quality","6469","2"
"64","Data: Water Quality","6469","3"
"15","Data: Water Quality","6473",""
"14","Data: Water Quality","6473","1"
"","Data: Water Quality","6473","2"
"","Data: Water Quality","6473","3"
"11.6","Data: Water Quality","6477",""
"","Data: Water Quality","6477","1"
"","Data: Water Quality","6477","2"
"","Data: Water Quality","6477","3"
"10.3","Data: Water Quality","6479",""
"","Data: Water Quality","6479","1"
"","Data: Water Quality","6479","2"
"","Data: Water Quality","6479","3"
"9.8","Data: Water Quality","6481",""
"","Data: Water Quality","6481","1"
"","Data: Water Quality","6481","2"
"","Data: Water Quality","6481","3"
"44","Data: Water Quality","6482",""
"45","Data: Water Quality","6482","1"
"45","Data: Water Quality","6482","2"
"44","Data: Water Quality","6482","3"
"","Data: Water Quality","6483",""
"","Data: Water Quality","6483","1"
"","Data: Water Quality","6483","2"
"","Data: Water Quality","6483","3"
"43","Data: Water Quality","6484",""
"","Data: Water Quality","6484","1"
"","Data: Water Quality","6484","2"
"","Data: Water Quality","6484","3"
"50","Data: Water Quality","6485",""
"52","Data: Water Quality","6485","1"
"47","Data: Water Quality","6485","2"
"43","Data: Water Quality","6485","3"
"50","Data: Water Quality","6486",""
"50","Data: Water Quality","6486","1"
"55","Data: Water Quality","6486","2"
"","Data: Water Quality","6486","3"
"50","Data: Water Quality","6487",""
"50","Data: Water Quality","6487","1"
"49","Data: Water Quality","6487","2"
"","Data: Water Quality","6487","3"
"50","Data: Water Quality","6488",""
"50","Data: Water Quality","6488","1"
"","Data: Water Quality","6488","2"
"","Data: Water Quality","6488","3"
"50","Data: Water Quality","6489",""
"54","Data: Water Quality","6489","1"
"51","Data: Water Quality","6489","2"
"","Data: Water Quality","6489","3"
"53","Data: Water Quality","6490",""
"","Data: Water Quality","6490","1"
"","Data: Water Quality","6490","2"
"","Data: Water Quality","6490","3"
"52","Data: Water Quality","6491",""
"50","Data: Water Quality","6491","1"
"56","Data: Water Quality","6491","2"
"","Data: Water Quality","6491","3"
"45","Data: Water Quality","6492",""
"46","Data: Water Quality","6492","1"
"44","Data: Water Quality","6492","2"
"46","Data: Water Quality","6492","3"
"56","Data: Water Quality","6493",""
"45","Data: Water Quality","6493","1"
"57","Data: Water Quality","6493","2"
"45","Data: Water Quality","6493","3"
"53","Data: Water Quality","6494",""
"","Data: Water Quality","6494","1"
"","Data: Water Quality","6494","2"
"","Data: Water Quality","6494","3"
