"Turbidity (NTU)","Type","Nid","Delta"
"20","Data: Water Quality","4640","2"
"","Data: Water Quality","4640","3"
"11","Data: Water Quality","4647",""
"13.5","Data: Water Quality","4647","1"
"","Data: Water Quality","4647","2"
"","Data: Water Quality","4647","3"
"4.4","Data: Water Quality","4691",""
"","Data: Water Quality","4691","1"
"","Data: Water Quality","4691","2"
"","Data: Water Quality","4691","3"
"12.5","Data: Water Quality","4784",""
"9.7","Data: Water Quality","4784","1"
"12","Data: Water Quality","4784","2"
"","Data: Water Quality","4784","3"
"20","Data: Water Quality","4788",""
"15","Data: Water Quality","4788","1"
"20","Data: Water Quality","4788","2"
"30","Data: Water Quality","4788","3"
"20","Data: Water Quality","4789",""
"20","Data: Water Quality","4789","1"
"15","Data: Water Quality","4789","2"
"25","Data: Water Quality","4789","3"
"","Data: Water Quality","4791",""
"","Data: Water Quality","4791","1"
"","Data: Water Quality","4791","2"
"","Data: Water Quality","4791","3"
"40.6","Data: Water Quality","4792",""
"50.5","Data: Water Quality","4792","1"
"","Data: Water Quality","4792","2"
"","Data: Water Quality","4792","3"
"","Data: Water Quality","4803",""
"3","Data: Water Quality","4803","1"
"","Data: Water Quality","4803","2"
"","Data: Water Quality","4803","3"
"14","Data: Water Quality","4806",""
"13","Data: Water Quality","4806","1"
"","Data: Water Quality","4806","2"
"","Data: Water Quality","4806","3"
"9","Data: Water Quality","4858",""
"","Data: Water Quality","4858","1"
"","Data: Water Quality","4858","2"
"","Data: Water Quality","4858","3"
"4.5","Data: Water Quality","4860",""
"6","Data: Water Quality","4860","1"
"7","Data: Water Quality","4860","2"
"15.6","Data: Water Quality","4860","3"
"12","Data: Water Quality","4952",""
"12","Data: Water Quality","4952","1"
"18","Data: Water Quality","4952","2"
"17","Data: Water Quality","4952","3"
"","Data: Water Quality","4992",""
"","Data: Water Quality","4992","1"
"10.9","Data: Water Quality","4992","2"
"","Data: Water Quality","4992","3"
"1","Data: Water Quality","4994",""
"2","Data: Water Quality","4994","1"
"3","Data: Water Quality","4994","2"
"4","Data: Water Quality","4994","3"
"217.1","Data: Water Quality","5001",""
"","Data: Water Quality","5001","1"
"","Data: Water Quality","5001","2"
"","Data: Water Quality","5001","3"
"","Data: Water Quality","5002",""
"","Data: Water Quality","5002","1"
"","Data: Water Quality","5002","2"
"","Data: Water Quality","5002","3"
"","Data: Water Quality","5003",""
"","Data: Water Quality","5003","1"
"","Data: Water Quality","5003","2"
"8.9","Data: Water Quality","5003","3"
"100","Data: Water Quality","5023",""
"10","Data: Water Quality","5023","1"
"20","Data: Water Quality","5023","2"
"","Data: Water Quality","5023","3"
"100","Data: Water Quality","5026",""
"","Data: Water Quality","5026","1"
"5","Data: Water Quality","5026","2"
"","Data: Water Quality","5026","3"
"","Data: Water Quality","5057",""
"","Data: Water Quality","5057","1"
"","Data: Water Quality","5057","2"
"","Data: Water Quality","5057","3"
"","Data: Water Quality","5058",""
"","Data: Water Quality","5058","1"
"","Data: Water Quality","5058","2"
"","Data: Water Quality","5058","3"
"20","Data: Water Quality","5060",""
"","Data: Water Quality","5060","1"
"","Data: Water Quality","5060","2"
"","Data: Water Quality","5060","3"
"","Data: Water Quality","5064",""
"","Data: Water Quality","5064","1"
"","Data: Water Quality","5064","2"
"","Data: Water Quality","5064","3"
"15","Data: Water Quality","5261",""
"","Data: Water Quality","5261","1"
"","Data: Water Quality","5261","2"
"","Data: Water Quality","5261","3"
"","Data: Water Quality","5317",""
"","Data: Water Quality","5317","1"
"","Data: Water Quality","5317","2"
"","Data: Water Quality","5317","3"
"20","Data: Water Quality","5318",""
"3.2","Data: Water Quality","5318","1"
"","Data: Water Quality","5318","2"
"","Data: Water Quality","5318","3"
"","Data: Water Quality","5320",""
"","Data: Water Quality","5320","1"
"","Data: Water Quality","5320","2"
"","Data: Water Quality","5320","3"
"","Data: Water Quality","5325",""
"","Data: Water Quality","5325","1"
"","Data: Water Quality","5325","2"
"","Data: Water Quality","5325","3"
"143","Data: Water Quality","5354",""
"","Data: Water Quality","5354","1"
"","Data: Water Quality","5354","2"
"","Data: Water Quality","5354","3"
"","Data: Water Quality","5358",""
"","Data: Water Quality","5358","1"
"","Data: Water Quality","5358","2"
"","Data: Water Quality","5358","3"
"","Data: Water Quality","5359",""
"","Data: Water Quality","5359","1"
"","Data: Water Quality","5359","2"
"","Data: Water Quality","5359","3"
"103","Data: Water Quality","5360",""
"","Data: Water Quality","5360","1"
"","Data: Water Quality","5360","2"
"","Data: Water Quality","5360","3"
"","Data: Water Quality","5363",""
"","Data: Water Quality","5363","1"
"","Data: Water Quality","5363","2"
"","Data: Water Quality","5363","3"
"","Data: Water Quality","5365",""
"","Data: Water Quality","5365","1"
"","Data: Water Quality","5365","2"
"","Data: Water Quality","5365","3"
"20","Data: Water Quality","5381",""
"","Data: Water Quality","5381","1"
"","Data: Water Quality","5381","2"
"","Data: Water Quality","5381","3"
"","Data: Water Quality","5384",""
"","Data: Water Quality","5384","1"
"","Data: Water Quality","5384","2"
"","Data: Water Quality","5384","3"
"1.6","Data: Water Quality","5388",""
"1.4","Data: Water Quality","5388","1"
"","Data: Water Quality","5388","2"
"","Data: Water Quality","5388","3"
"","Data: Water Quality","5395",""
"","Data: Water Quality","5395","1"
"","Data: Water Quality","5395","2"
"","Data: Water Quality","5395","3"
"27.9","Data: Water Quality","5404",""
"","Data: Water Quality","5404","1"
"","Data: Water Quality","5404","2"
"","Data: Water Quality","5404","3"
"","Data: Water Quality","5408",""
"","Data: Water Quality","5408","1"
"","Data: Water Quality","5408","2"
"","Data: Water Quality","5408","3"
"20","Data: Water Quality","5447",""
"","Data: Water Quality","5447","1"
"","Data: Water Quality","5447","2"
"","Data: Water Quality","5447","3"
"20","Data: Water Quality","5553",""
"20","Data: Water Quality","5553","1"
"20","Data: Water Quality","5553","2"
"","Data: Water Quality","5553","3"
"","Data: Water Quality","5554",""
"","Data: Water Quality","5554","1"
"","Data: Water Quality","5554","2"
"","Data: Water Quality","5554","3"
"1","Data: Water Quality","5564",""
"10","Data: Water Quality","5564","1"
"5","Data: Water Quality","5564","2"
"","Data: Water Quality","5564","3"
"4","Data: Water Quality","5592",""
"5","Data: Water Quality","5592","1"
"6","Data: Water Quality","5592","2"
"7","Data: Water Quality","5592","3"
"17","Data: Water Quality","5603",""
"","Data: Water Quality","5603","1"
"","Data: Water Quality","5603","2"
"","Data: Water Quality","5603","3"
"17","Data: Water Quality","5611",""
"","Data: Water Quality","5611","1"
"","Data: Water Quality","5611","2"
"","Data: Water Quality","5611","3"
"13","Data: Water Quality","5617",""
"","Data: Water Quality","5617","1"
"","Data: Water Quality","5617","2"
"","Data: Water Quality","5617","3"
"14","Data: Water Quality","5622",""
"","Data: Water Quality","5622","1"
"","Data: Water Quality","5622","2"
"","Data: Water Quality","5622","3"
"13","Data: Water Quality","5629",""
"","Data: Water Quality","5629","1"
"","Data: Water Quality","5629","2"
"","Data: Water Quality","5629","3"
"68","Data: Water Quality","5794",""
"70","Data: Water Quality","5794","1"
"","Data: Water Quality","5794","2"
"","Data: Water Quality","5794","3"
"","Data: Water Quality","5842",""
"","Data: Water Quality","5842","1"
"","Data: Water Quality","5842","2"
"40","Data: Water Quality","5842","3"
"-18.5","Data: Water Quality","5886",""
"-22.6","Data: Water Quality","5886","1"
"-20","Data: Water Quality","5886","2"
"","Data: Water Quality","5886","3"
"","Data: Water Quality","5887",""
"","Data: Water Quality","5887","1"
"","Data: Water Quality","5887","2"
"","Data: Water Quality","5887","3"
"","Data: Water Quality","5899",""
"","Data: Water Quality","5899","1"
"","Data: Water Quality","5899","2"
"","Data: Water Quality","5899","3"
"68.1","Data: Water Quality","5915",""
"60.4","Data: Water Quality","5915","1"
"69","Data: Water Quality","5915","2"
"59.3","Data: Water Quality","5915","3"
"275","Data: Water Quality","5916",""
"190","Data: Water Quality","5916","1"
"169","Data: Water Quality","5916","2"
"235.4","Data: Water Quality","5916","3"
"188","Data: Water Quality","5917",""
"166","Data: Water Quality","5917","1"
"127.4","Data: Water Quality","5917","2"
"194","Data: Water Quality","5917","3"
"-18.5","Data: Water Quality","5919",""
"-22.6","Data: Water Quality","5919","1"
"-20","Data: Water Quality","5919","2"
"","Data: Water Quality","5919","3"
"45","Data: Water Quality","5922",""
"66","Data: Water Quality","5922","1"
"50","Data: Water Quality","5922","2"
"","Data: Water Quality","5922","3"
"1","Data: Water Quality","5931",""
"2","Data: Water Quality","5931","1"
"3","Data: Water Quality","5931","2"
"2","Data: Water Quality","5931","3"
"","Data: Water Quality","5942",""
"","Data: Water Quality","5942","1"
"","Data: Water Quality","5942","2"
"","Data: Water Quality","5942","3"
"55","Data: Water Quality","5944",""
"55","Data: Water Quality","5944","1"
"","Data: Water Quality","5944","2"
"","Data: Water Quality","5944","3"
"40.5","Data: Water Quality","5948",""
"57","Data: Water Quality","5948","1"
"","Data: Water Quality","5948","2"
"","Data: Water Quality","5948","3"
"47","Data: Water Quality","5951",""
"59","Data: Water Quality","5951","1"
"","Data: Water Quality","5951","2"
"","Data: Water Quality","5951","3"
"39.1","Data: Water Quality","5955",""
"","Data: Water Quality","5955","1"
"","Data: Water Quality","5955","2"
"","Data: Water Quality","5955","3"
"54","Data: Water Quality","5958",""
"54","Data: Water Quality","5958","1"
"","Data: Water Quality","5958","2"
"","Data: Water Quality","5958","3"
"50","Data: Water Quality","5961",""
"","Data: Water Quality","5961","1"
"","Data: Water Quality","5961","2"
"","Data: Water Quality","5961","3"
"","Data: Water Quality","6014",""
"","Data: Water Quality","6014","1"
"","Data: Water Quality","6014","2"
"","Data: Water Quality","6014","3"
"10.7","Data: Water Quality","6026",""
"","Data: Water Quality","6026","1"
"","Data: Water Quality","6026","2"
"","Data: Water Quality","6026","3"
"","Data: Water Quality","6041",""
"","Data: Water Quality","6041","1"
"","Data: Water Quality","6041","2"
"","Data: Water Quality","6041","3"
"","Data: Water Quality","6044",""
"","Data: Water Quality","6044","1"
"","Data: Water Quality","6044","2"
"","Data: Water Quality","6044","3"
"","Data: Water Quality","6045",""
"","Data: Water Quality","6045","1"
"","Data: Water Quality","6045","2"
"","Data: Water Quality","6045","3"
"","Data: Water Quality","6048",""
"","Data: Water Quality","6048","1"
"","Data: Water Quality","6048","2"
"","Data: Water Quality","6048","3"
"","Data: Water Quality","6050",""
"","Data: Water Quality","6050","1"
"","Data: Water Quality","6050","2"
"","Data: Water Quality","6050","3"
"","Data: Water Quality","6052",""
"","Data: Water Quality","6052","1"
"","Data: Water Quality","6052","2"
"","Data: Water Quality","6052","3"
"","Data: Water Quality","6054",""
"","Data: Water Quality","6054","1"
"","Data: Water Quality","6054","2"
"","Data: Water Quality","6054","3"
"","Data: Water Quality","6056",""
"","Data: Water Quality","6056","1"
"","Data: Water Quality","6056","2"
"","Data: Water Quality","6056","3"
"","Data: Water Quality","6065",""
"","Data: Water Quality","6065","1"
"","Data: Water Quality","6065","2"
"","Data: Water Quality","6065","3"
"","Data: Water Quality","6066",""
"","Data: Water Quality","6066","1"
"","Data: Water Quality","6066","2"
"","Data: Water Quality","6066","3"
"","Data: Water Quality","6068",""
"","Data: Water Quality","6068","1"
"","Data: Water Quality","6068","2"
"","Data: Water Quality","6068","3"
"","Data: Water Quality","6069",""
"","Data: Water Quality","6069","1"
"","Data: Water Quality","6069","2"
"","Data: Water Quality","6069","3"
"","Data: Water Quality","6070",""
"","Data: Water Quality","6070","1"
"","Data: Water Quality","6070","2"
"","Data: Water Quality","6070","3"
"","Data: Water Quality","6072",""
"","Data: Water Quality","6072","1"
"","Data: Water Quality","6072","2"
"","Data: Water Quality","6072","3"
"42","Data: Water Quality","6090",""
"55","Data: Water Quality","6090","1"
"60","Data: Water Quality","6090","2"
"","Data: Water Quality","6090","3"
"55","Data: Water Quality","6091",""
"44","Data: Water Quality","6091","1"
"","Data: Water Quality","6091","2"
"","Data: Water Quality","6091","3"
"","Data: Water Quality","6093",""
"","Data: Water Quality","6093","1"
"","Data: Water Quality","6093","2"
"","Data: Water Quality","6093","3"
"","Data: Water Quality","6094",""
"","Data: Water Quality","6094","1"
"","Data: Water Quality","6094","2"
"","Data: Water Quality","6094","3"
"","Data: Water Quality","6095",""
"","Data: Water Quality","6095","1"
"","Data: Water Quality","6095","2"
"","Data: Water Quality","6095","3"
"","Data: Water Quality","6097",""
"","Data: Water Quality","6097","1"
"","Data: Water Quality","6097","2"
"","Data: Water Quality","6097","3"
"60","Data: Water Quality","6140",""
"60","Data: Water Quality","6140","1"
"","Data: Water Quality","6140","2"
"","Data: Water Quality","6140","3"
"60","Data: Water Quality","6155",""
"60","Data: Water Quality","6155","1"
"","Data: Water Quality","6155","2"
"","Data: Water Quality","6155","3"
"","Data: Water Quality","6162",""
"","Data: Water Quality","6162","1"
"","Data: Water Quality","6162","2"
"","Data: Water Quality","6162","3"
"","Data: Water Quality","6163",""
"","Data: Water Quality","6163","1"
"","Data: Water Quality","6163","2"
"","Data: Water Quality","6163","3"
"6","Data: Water Quality","6164",""
"7","Data: Water Quality","6164","1"
"8","Data: Water Quality","6164","2"
"9","Data: Water Quality","6164","3"
"65","Data: Water Quality","6165",""
"66","Data: Water Quality","6165","1"
"","Data: Water Quality","6165","2"
"","Data: Water Quality","6165","3"
"","Data: Water Quality","6198",""
"","Data: Water Quality","6198","1"
"","Data: Water Quality","6198","2"
"","Data: Water Quality","6198","3"
"13","Data: Water Quality","6211",""
"18.8","Data: Water Quality","6211","1"
"19","Data: Water Quality","6211","2"
"","Data: Water Quality","6211","3"
"8","Data: Water Quality","6218",""
"6","Data: Water Quality","6218","1"
"10","Data: Water Quality","6218","2"
"","Data: Water Quality","6218","3"
"","Data: Water Quality","6225",""
"","Data: Water Quality","6225","1"
"","Data: Water Quality","6225","2"
"","Data: Water Quality","6225","3"
"","Data: Water Quality","6237",""
"","Data: Water Quality","6237","1"
"","Data: Water Quality","6237","2"
"","Data: Water Quality","6237","3"
"60","Data: Water Quality","6238",""
"60","Data: Water Quality","6238","1"
"","Data: Water Quality","6238","2"
"","Data: Water Quality","6238","3"
"60","Data: Water Quality","6239",""
"17","Data: Water Quality","6239","1"
"10","Data: Water Quality","6239","2"
"25","Data: Water Quality","6239","3"
"50","Data: Water Quality","6240",""
"1.2","Data: Water Quality","6240","1"
"","Data: Water Quality","6240","2"
"","Data: Water Quality","6240","3"
"601","Data: Water Quality","6241",""
"10","Data: Water Quality","6241","1"
"","Data: Water Quality","6241","2"
"","Data: Water Quality","6241","3"
"5","Data: Water Quality","6242",""
"","Data: Water Quality","6242","1"
"","Data: Water Quality","6242","2"
"","Data: Water Quality","6242","3"
"15","Data: Water Quality","6243",""
"","Data: Water Quality","6243","1"
"","Data: Water Quality","6243","2"
"","Data: Water Quality","6243","3"
"22","Data: Water Quality","6244",""
"30","Data: Water Quality","6244","1"
"32","Data: Water Quality","6244","2"
"50","Data: Water Quality","6244","3"
"58.6","Data: Water Quality","6245",""
"","Data: Water Quality","6245","1"
"","Data: Water Quality","6245","2"
"","Data: Water Quality","6245","3"
"56.6","Data: Water Quality","6246",""
"57.2","Data: Water Quality","6246","1"
"","Data: Water Quality","6246","2"
"","Data: Water Quality","6246","3"
"59","Data: Water Quality","6247",""
"","Data: Water Quality","6247","1"
"","Data: Water Quality","6247","2"
"","Data: Water Quality","6247","3"
"59.2","Data: Water Quality","6248",""
"58.2","Data: Water Quality","6248","1"
"","Data: Water Quality","6248","2"
"","Data: Water Quality","6248","3"
"","Data: Water Quality","6249",""
"","Data: Water Quality","6249","1"
"","Data: Water Quality","6249","2"
"","Data: Water Quality","6249","3"
"60","Data: Water Quality","6250",""
"55","Data: Water Quality","6250","1"
"35","Data: Water Quality","6250","2"
"57","Data: Water Quality","6250","3"
"","Data: Water Quality","6251",""
"","Data: Water Quality","6251","1"
"","Data: Water Quality","6251","2"
"","Data: Water Quality","6251","3"
"51.2","Data: Water Quality","6252",""
"","Data: Water Quality","6252","1"
"","Data: Water Quality","6252","2"
"","Data: Water Quality","6252","3"
"","Data: Water Quality","6253",""
"","Data: Water Quality","6253","1"
"","Data: Water Quality","6253","2"
"","Data: Water Quality","6253","3"
"","Data: Water Quality","6254",""
"","Data: Water Quality","6254","1"
"","Data: Water Quality","6254","2"
"","Data: Water Quality","6254","3"
"60","Data: Water Quality","6255",""
"60","Data: Water Quality","6255","1"
"60","Data: Water Quality","6255","2"
"60","Data: Water Quality","6255","3"
"6","Data: Water Quality","6256",""
"","Data: Water Quality","6256","1"
"","Data: Water Quality","6256","2"
"","Data: Water Quality","6256","3"
"6","Data: Water Quality","6257",""
"6","Data: Water Quality","6257","1"
"6","Data: Water Quality","6257","2"
"","Data: Water Quality","6257","3"
"60","Data: Water Quality","6258",""
"60","Data: Water Quality","6258","1"
"60","Data: Water Quality","6258","2"
"57","Data: Water Quality","6258","3"
"56","Data: Water Quality","6259",""
"42","Data: Water Quality","6259","1"
"60","Data: Water Quality","6259","2"
"60","Data: Water Quality","6259","3"
"60","Data: Water Quality","6260",""
"60","Data: Water Quality","6260","1"
"","Data: Water Quality","6260","2"
"","Data: Water Quality","6260","3"
"60","Data: Water Quality","6261",""
"60","Data: Water Quality","6261","1"
"55","Data: Water Quality","6261","2"
"44","Data: Water Quality","6261","3"
"60","Data: Water Quality","6262",""
"","Data: Water Quality","6262","1"
"","Data: Water Quality","6262","2"
"","Data: Water Quality","6262","3"
"10","Data: Water Quality","6263",""
"","Data: Water Quality","6263","1"
"","Data: Water Quality","6263","2"
"","Data: Water Quality","6263","3"
"6","Data: Water Quality","6264",""
"150","Data: Water Quality","6264","1"
"6","Data: Water Quality","6264","2"
"","Data: Water Quality","6264","3"
"7","Data: Water Quality","6265",""
"","Data: Water Quality","6265","1"
"","Data: Water Quality","6265","2"
"","Data: Water Quality","6265","3"
"9","Data: Water Quality","6266",""
"8","Data: Water Quality","6266","1"
"9","Data: Water Quality","6266","2"
"","Data: Water Quality","6266","3"
"9","Data: Water Quality","6267",""
"8","Data: Water Quality","6267","1"
"9","Data: Water Quality","6267","2"
"8","Data: Water Quality","6267","3"
"8","Data: Water Quality","6268",""
"14","Data: Water Quality","6268","1"
"6","Data: Water Quality","6268","2"
"","Data: Water Quality","6268","3"
"9","Data: Water Quality","6269",""
"6","Data: Water Quality","6269","1"
"","Data: Water Quality","6269","2"
"","Data: Water Quality","6269","3"
"8","Data: Water Quality","6270",""
"30","Data: Water Quality","6270","1"
"","Data: Water Quality","6270","2"
"","Data: Water Quality","6270","3"
"6","Data: Water Quality","6271",""
"240","Data: Water Quality","6271","1"
"","Data: Water Quality","6271","2"
"","Data: Water Quality","6271","3"
"11","Data: Water Quality","6272",""
"","Data: Water Quality","6272","1"
"","Data: Water Quality","6272","2"
"","Data: Water Quality","6272","3"
"6","Data: Water Quality","6273",""
"240","Data: Water Quality","6273","1"
"","Data: Water Quality","6273","2"
"","Data: Water Quality","6273","3"
"","Data: Water Quality","6274",""
"","Data: Water Quality","6274","1"
"","Data: Water Quality","6274","2"
"","Data: Water Quality","6274","3"
"","Data: Water Quality","6275",""
"","Data: Water Quality","6275","1"
"","Data: Water Quality","6275","2"
"","Data: Water Quality","6275","3"
"","Data: Water Quality","6276",""
"","Data: Water Quality","6276","1"
"","Data: Water Quality","6276","2"
"","Data: Water Quality","6276","3"
"8","Data: Water Quality","6277",""
"9","Data: Water Quality","6277","1"
"","Data: Water Quality","6277","2"
"","Data: Water Quality","6277","3"
"6","Data: Water Quality","6278",""
"6","Data: Water Quality","6278","1"
"","Data: Water Quality","6278","2"
"","Data: Water Quality","6278","3"
"6","Data: Water Quality","6279",""
"6","Data: Water Quality","6279","1"
"","Data: Water Quality","6279","2"
"","Data: Water Quality","6279","3"
"6","Data: Water Quality","6280",""
"6","Data: Water Quality","6280","1"
"6","Data: Water Quality","6280","2"
"","Data: Water Quality","6280","3"
"6","Data: Water Quality","6281",""
"6","Data: Water Quality","6281","1"
"","Data: Water Quality","6281","2"
"","Data: Water Quality","6281","3"
"20","Data: Water Quality","6344",""
"55","Data: Water Quality","6344","1"
"56","Data: Water Quality","6344","2"
"","Data: Water Quality","6344","3"
"","Data: Water Quality","6367",""
"","Data: Water Quality","6367","1"
"","Data: Water Quality","6367","2"
"","Data: Water Quality","6367","3"
"2.5","Data: Water Quality","6370",""
"","Data: Water Quality","6370","1"
"","Data: Water Quality","6370","2"
"","Data: Water Quality","6370","3"
"5","Data: Water Quality","6371",""
"","Data: Water Quality","6371","1"
"","Data: Water Quality","6371","2"
"","Data: Water Quality","6371","3"
"7.5","Data: Water Quality","6373",""
"","Data: Water Quality","6373","1"
"","Data: Water Quality","6373","2"
"","Data: Water Quality","6373","3"
"8.8","Data: Water Quality","6376",""
"","Data: Water Quality","6376","1"
"3.7","Data: Water Quality","6376","2"
"","Data: Water Quality","6376","3"
"","Data: Water Quality","6377",""
"","Data: Water Quality","6377","1"
"7.2","Data: Water Quality","6377","2"
"","Data: Water Quality","6377","3"
"","Data: Water Quality","6382",""
"3.96","Data: Water Quality","6382","1"
"","Data: Water Quality","6382","2"
"","Data: Water Quality","6382","3"
"","Data: Water Quality","6387",""
"","Data: Water Quality","6387","1"
"","Data: Water Quality","6387","2"
"","Data: Water Quality","6387","3"
"","Data: Water Quality","6390",""
"","Data: Water Quality","6390","1"
"","Data: Water Quality","6390","2"
"","Data: Water Quality","6390","3"
"","Data: Water Quality","6394",""
"","Data: Water Quality","6394","1"
"","Data: Water Quality","6394","2"
"","Data: Water Quality","6394","3"
"0.8","Data: Water Quality","6406",""
"","Data: Water Quality","6406","1"
"","Data: Water Quality","6406","2"
"","Data: Water Quality","6406","3"
"40","Data: Water Quality","6409",""
"5.2","Data: Water Quality","6409","1"
"3.3","Data: Water Quality","6409","2"
"","Data: Water Quality","6409","3"
"","Data: Water Quality","6412",""
"","Data: Water Quality","6412","1"
"","Data: Water Quality","6412","2"
"","Data: Water Quality","6412","3"
"10","Data: Water Quality","6415",""
"","Data: Water Quality","6415","1"
"","Data: Water Quality","6415","2"
"","Data: Water Quality","6415","3"
"15","Data: Water Quality","6429",""
"","Data: Water Quality","6429","1"
"","Data: Water Quality","6429","2"
"","Data: Water Quality","6429","3"
"10","Data: Water Quality","6431",""
"","Data: Water Quality","6431","1"
"","Data: Water Quality","6431","2"
"","Data: Water Quality","6431","3"
"10","Data: Water Quality","6432",""
"","Data: Water Quality","6432","1"
"","Data: Water Quality","6432","2"
"","Data: Water Quality","6432","3"
"7.5","Data: Water Quality","6433",""
"","Data: Water Quality","6433","1"
"","Data: Water Quality","6433","2"
"","Data: Water Quality","6433","3"
"7.5","Data: Water Quality","6434",""
"","Data: Water Quality","6434","1"
"","Data: Water Quality","6434","2"
"","Data: Water Quality","6434","3"
"7.5","Data: Water Quality","6435",""
"","Data: Water Quality","6435","1"
"","Data: Water Quality","6435","2"
"","Data: Water Quality","6435","3"
"","Data: Water Quality","6444",""
"","Data: Water Quality","6444","1"
"","Data: Water Quality","6444","2"
"","Data: Water Quality","6444","3"
"9","Data: Water Quality","6445",""
"19","Data: Water Quality","6445","1"
"12","Data: Water Quality","6445","2"
"17","Data: Water Quality","6445","3"
"12","Data: Water Quality","6446",""
"22","Data: Water Quality","6446","1"
"17","Data: Water Quality","6446","2"
"12","Data: Water Quality","6446","3"
"22","Data: Water Quality","6447",""
"7","Data: Water Quality","6447","1"
"22","Data: Water Quality","6447","2"
"17","Data: Water Quality","6447","3"
"22","Data: Water Quality","6448",""
"7","Data: Water Quality","6448","1"
"24","Data: Water Quality","6448","2"
"","Data: Water Quality","6448","3"
"12","Data: Water Quality","6450",""
"27","Data: Water Quality","6450","1"
"21","Data: Water Quality","6450","2"
"23","Data: Water Quality","6450","3"
"22","Data: Water Quality","6451",""
"7","Data: Water Quality","6451","1"
"22","Data: Water Quality","6451","2"
"17","Data: Water Quality","6451","3"
"12","Data: Water Quality","6453",""
"22","Data: Water Quality","6453","1"
"17","Data: Water Quality","6453","2"
"12","Data: Water Quality","6453","3"
"12","Data: Water Quality","6454",""
"22","Data: Water Quality","6454","1"
"17","Data: Water Quality","6454","2"
"12","Data: Water Quality","6454","3"
"","Data: Water Quality","6455",""
"","Data: Water Quality","6455","1"
"","Data: Water Quality","6455","2"
"","Data: Water Quality","6455","3"
"12","Data: Water Quality","6461",""
"27","Data: Water Quality","6461","1"
"21","Data: Water Quality","6461","2"
"23","Data: Water Quality","6461","3"
"","Data: Water Quality","6462",""
"","Data: Water Quality","6462","1"
"","Data: Water Quality","6462","2"
"","Data: Water Quality","6462","3"
"30","Data: Water Quality","6463",""
"7","Data: Water Quality","6463","1"
"22","Data: Water Quality","6463","2"
"24","Data: Water Quality","6463","3"
"22","Data: Water Quality","6464",""
"7","Data: Water Quality","6464","1"
"24","Data: Water Quality","6464","2"
"","Data: Water Quality","6464","3"
"22","Data: Water Quality","6465",""
"21","Data: Water Quality","6465","1"
"27","Data: Water Quality","6465","2"
"28","Data: Water Quality","6465","3"
"9","Data: Water Quality","6469",""
"19","Data: Water Quality","6469","1"
"12","Data: Water Quality","6469","2"
"17","Data: Water Quality","6469","3"
"10","Data: Water Quality","6473",""
"","Data: Water Quality","6473","1"
"","Data: Water Quality","6473","2"
"","Data: Water Quality","6473","3"
"","Data: Water Quality","6477",""
"","Data: Water Quality","6477","1"
"","Data: Water Quality","6477","2"
"","Data: Water Quality","6477","3"
"","Data: Water Quality","6479",""
"","Data: Water Quality","6479","1"
"","Data: Water Quality","6479","2"
"","Data: Water Quality","6479","3"
"","Data: Water Quality","6481",""
"","Data: Water Quality","6481","1"
"","Data: Water Quality","6481","2"
"","Data: Water Quality","6481","3"
"60","Data: Water Quality","6482",""
"19","Data: Water Quality","6482","1"
"6","Data: Water Quality","6482","2"
"6","Data: Water Quality","6482","3"
"","Data: Water Quality","6483",""
"","Data: Water Quality","6483","1"
"","Data: Water Quality","6483","2"
"","Data: Water Quality","6483","3"
"8","Data: Water Quality","6484",""
"30","Data: Water Quality","6484","1"
"13","Data: Water Quality","6484","2"
"15","Data: Water Quality","6484","3"
"65","Data: Water Quality","6485",""
"6","Data: Water Quality","6485","1"
"6","Data: Water Quality","6485","2"
"6","Data: Water Quality","6485","3"
"11","Data: Water Quality","6486",""
"13","Data: Water Quality","6486","1"
"6","Data: Water Quality","6486","2"
"","Data: Water Quality","6486","3"
"240","Data: Water Quality","6487",""
"21","Data: Water Quality","6487","1"
"6","Data: Water Quality","6487","2"
"50","Data: Water Quality","6487","3"
"11","Data: Water Quality","6488",""
"6","Data: Water Quality","6488","1"
"13","Data: Water Quality","6488","2"
"6","Data: Water Quality","6488","3"
"15","Data: Water Quality","6489",""
"","Data: Water Quality","6489","1"
"","Data: Water Quality","6489","2"
"","Data: Water Quality","6489","3"
"6","Data: Water Quality","6490",""
"30","Data: Water Quality","6490","1"
"","Data: Water Quality","6490","2"
"","Data: Water Quality","6490","3"
"35","Data: Water Quality","6491",""
"6","Data: Water Quality","6491","1"
"","Data: Water Quality","6491","2"
"","Data: Water Quality","6491","3"
"11","Data: Water Quality","6492",""
"90","Data: Water Quality","6492","1"
"","Data: Water Quality","6492","2"
"","Data: Water Quality","6492","3"
"15","Data: Water Quality","6493",""
"30","Data: Water Quality","6493","1"
"24","Data: Water Quality","6493","2"
"27","Data: Water Quality","6493","3"
"6","Data: Water Quality","6494",""
"30","Data: Water Quality","6494","1"
"6","Data: Water Quality","6494","2"
"6","Data: Water Quality","6494","3"
"6","Data: Water Quality","6495",""
"11","Data: Water Quality","6495","1"
"90","Data: Water Quality","6495","2"
"240","Data: Water Quality","6495","3"
"13","Data: Water Quality","6496",""
"24","Data: Water Quality","6496","1"
"5","Data: Water Quality","6496","2"
"27","Data: Water Quality","6496","3"
"6","Data: Water Quality","6497",""
"6","Data: Water Quality","6497","1"
